HTTP Live Streaming,3+[246],3+[247],10+[248],10+[249],No,?[250],Yes
WebRTC,Yes[251],11+[252],No,Yes (beta),No,No,Yes
Feature,Android,iOS,Windows 10 Mobile,BlackBerry 10,Tizen,Sailfish OS,Ubuntu Touch
Unified Inbox,No [253] but 3rd party apps available[254],Yes,7.5+[255],Yes,Yes,Yes,?
Email sync protocols supported,POP3  IMAP  MAPI,POP3  IMAP  MAPI  ActiveSync[256],POP3  IMAP  MAPI  ActiveSync,BES  BIS  Push e-mail  10+: POP3  IMAP  ActiveSync,POP3  IMAP,POP3  IMAP  ActiveSync,?
Non-carrier-based integrated messaging,Google Hangouts,5+ (iMessage)[257],Skype[258],BBM,?,3rd party software,3rd party software
Visual voicemail,2.1+[259],Yes,Yes[260],Yes,?,?,?
Call log duration,Yes[261],Yes[262],8.1+[263],Yes[264],?,Yes,Yes
Multiple mobile phones per contact,Yes,Yes,Yes,Yes,?,Yes,Yes
Contact groups,4+[265] or 3rd party software[266],Via iCloud or 3rd party software[267],7.5+[268],Yes,Yes,No[269],?
Voice over IP,Yes (SIP)[270] or 3rd party software[271],FaceTime; 3rd party software[272],8+ Skype[273],BBM 7+[274] or 3rd party software[275],No[276],3rd party software,3rd party software
NFC payment software,Available on any device that supports the hardware. Android Pay for NFC payments available in Play Store.[277],8+: iPhone 6/6 Plus and later (iPhone 5 and later if used with Apple Watch)  via Apple Pay,8+[278],Yes[279],No,No,No
Tethering,Mobile Wi-Fi Hotspot  USB  Bluetooth,4.3+: Personal Hotspot (Wi-Fi  Bluetooth  USB; carrier dependent),Internet Sharing (Wi-Fi Hotspot) [280] Bluetooth (8.1 Update+),USB  Bluetooth  Mobile Wi-Fi Hotspot,microUSB  Bluetooth 3.0  Mobile Wi-Fi Hotspot,Mobile Wi-Fi Hotspot  USB  Bluetooth,Mobile Wi-Fi Hotspot
USB On-The-Go,3.1+[281][282],13+;[283] 9+: Only for connecting cameras,10+[284],10.2+[285],No,Yes,Yes
Direct file transfer over Wi-Fi Direct,4+[68] and selected devices[286][287],No  3rd party software on jailbroken devices,No,10.2+,No  was available on bada 2+ [288] but removed on Tizen,No[289],No
DHCP v4,Yes,Yes,?,Yes,?,?,?
DHCP v6,No,Yes,?,Yes (Manually selected; Wi-Fi only),?,?,?
Direct file transfer over Bluetooth,2+[290],AirDrop: 7+: Between iOS only; 8+: Between Mac/iOS only. (Note: AirDrop utilizes Wi-Fi as well),8+[291],Yes,No  was available on bada [292] but removed on Tizen,Yes[293] but limited to images  videos and contacts,No
Direct file transfer over NFC,4+[68],No,8+[294],7.1+[295],2+[288],No,No
Feature,Android,iOS,Windows 10 Mobile,BlackBerry 10,Tizen,Sailfish OS,Ubuntu Touch
Non-English languages support,Partial[296],Yes[297][298][299],Yes,Yes,Limited (Search is not diacritical mark-insensitive),Yes,Yes
Underlining spell checker,2.3+[300][301],Yes[302],Yes[303],Yes,No,?,No
Built-in system-wide dictionary,Built into keyboard app. Available on every device.[304],5+[305],Yes[306],Yes,No,Yes,Yes
Autoexpanding text replacements,Yes,5+[307],Yes[306],Yes[308],?,?,?
Keyboard next word prediction,No [309] 3rd party software[310],8+[311],Yes[312],Yes,No,Yes,Yes
Keyboard cursor controller,Google Keyboard;[313];[314],12+;[315] 9-11: Only on devices with 3D Touch;[316],Yes[317],No,No,No,Yes
Optical character recognition input method,No[318],11+: Notes app;[319] 8+: Only for inputting credit card details[320],No,No,No,No,No
Third party input methods,Yes[321],8+,No,No  only for Android apps through sideload of Android keyboard[322],?,?,?
Gesture text input,4+[323],13+;[324] 8+: 3rd party software like SwiftKey,8.1+[325],Yes,?,No[326],No
Emoji support,4.4+[327],Yes[328],Yes[329],10.2+[330],?,3rd party software,Yes
Feature,Android,iOS,Windows 10 Mobile,BlackBerry 10,Tizen,Sailfish OS,Ubuntu Touch
Safe driving mode,3rd party software,11+[331],8 GDR3+[332],No,?,?,?
Turn-by-turn navigation,2+[333],6+[334],8+[335],10+[336],?,Yes,3rd party software
Offline maps,3rd party software Google Maps [337] Here Maps,6+[338],8+[339],3rd party software,?,3rd party software,3rd party software
Alternative routes in maps,Yes[340],5+[341][342],10+[343],?,?,3rd party software,3rd party software
Feature,Android,iOS,Windows 10 Mobile,BlackBerry 10,Tizen,Sailfish OS,Ubuntu Touch
Audio playback,AAC LC/LTP 3GPP  HE-AACv1 (AAC+)  HE-AACv2 (enhanced AAC+) AMR-NB  AMR-WB  MP3  MIDI (Type 0 and 1  DLS versions 1 and 2)  Ogg Vorbis  PCM/WAVE  FLAC  WAVE  Opus[344],AAC  protected AAC (from iTunes Store)  HE-AAC  MP3  MP3 VBR  Audible (formats 2  3  4  Audible Enhanced Audio  AAX  and AAX+)  Apple Lossless  AIFF  WAV[345],MP3  WMA Std 9.2  WMA Pro  FLAC  AMR-NB  AAC-LC  AAC+  eAAC+[346],MP3  FLAC  AAC  AAC+  eAAC+  WAV  WMA pro  AMR-NB  MIDI  AWB  M4A  MKA  OGG[347],AAC  AAC+  eAAC+  AMR-NB  AMR-WB  MP3  Vorbis  WAV[348],MP3  FLAC  AAC  eAAC  eAAC+  ALAC  AC3  DTS  Opus  Vorbis,?
Video playback,H.263  H.264 (up to Baseline Profile)  H.265 HEVC  MPEG-4 SP  DivX  XviD  VP8  VP9[344] (WMV on 3rd party software like VLC media player),H.264 (up to High Profile)  MPEG-4  M-JPEG[345],H.263  H.264  WMV  MPEG4  MPEG4 @ HD 720p 30fps  DivX  XviD[349],MP4  WMV  H.263  H.264  DivX  WMV  XviD  3GGP  3GP2  ASF  AVI  F4V  M4V  MKV  MOV  MPEG4  MPEG-2[347],H.263  H.264  MPEG-4 Part 2[348],MPEG-4  H264  H263 [350] although audio in recorded videos is out of sync[351],?
Wired video out,4K on 6+[352],Up to 1080p via HDMI[353] or VGA [354] 576p/480p via component[355] or composite;[356],8.1+ USB[357],10+ 1080p via microHDMI [358] SlimPort (BlackBerry Passport)[359],No,No[360],Yes
Wired digital audio output,5+ USB Audio[361],7+: USB Audio[362],10+: USB Audio on USB-C devices[363],USB Audio,No,No,Yes
Wireless video/audio streaming to set top boxes/TVs/speakers,4.2+ Miracast [364] but DLNA[365] only available on selected devices,AirPlay[366],8.1+ Miracast on some devices[367],10+ DLNA [368] 10.2+ Miracast[369] on some devices[370],DLNA[371],?,Yes
Media player on-device playlist creation,Yes[372],Yes[82],Yes[373],Yes,?,Yes,Yes
Media player video scrubbing,Yes,Yes,7.10.7720.0+[374],?,?,?,?
Media player audio scrubbing,Yes,Yes,8.1+[375],?,?,?,?
Media player fine scrubbing,No [376] 3rd party software like VLC media player  basic fine scrubbing removed on 4+[377],Yes[378],No,?,?,?,?
Media player double speed playing,6+[379],Only Podcasts[380],8.1+ Only Podcasts[381],?,?,?,?
Feature,Android,iOS,Windows 10 Mobile,BlackBerry 10,Tizen,Sailfish OS,Ubuntu Touch
Bluetooth keyboard,2.3+;[382] previous versions via 3rd party software[383],Yes[384],8.1u2+[385],Yes[386],No,Yes[387][388],Yes
USB keyboard,3.1+[382],With Camera Connection Kit[389],10+ some devices[390],Yes[386],No,?,Yes
Interchangeable external memory cards,Yes[391],Only for photo/video import with an optional accessory,8+[392],Yes[393],Yes[394],Yes,Yes
Feature,Android,iOS,Windows 10 Mobile,BlackBerry 10,Tizen,Sailfish OS,Ubuntu Touch
Camera focus at specified point,2.3+[395],Yes[82],Yes[396],10+,?,1.0.4.20+[397],Yes
Camera exposure metering from specified point,No [398] available on some phones.[399][400],Yes[401],8.1+[402],No,No,?,No
On device picture info (including Exif data),Only date and location; more with 3rd party software[403],Only date and location; more with 3rd party software[404],3rd party apps[405],Date and location[406],No,?,Yes
On device picture categorization,No[407] 3rd party software like TouchWiz[408],5+[409],Yes[410],Yes  photos can be renamed and searched,No,?,No
On device picture description and search,No[411],10+: Items/objects in picture;[412] 7+: Only date and location[413],Yes,Yes,No,?,No
Turn off shutter sound,In silent mode[414],In silent mode[415],7.5+[416],10.2+ – In silent mode[417],In silent mode,In silent mode[418],No
Picture crop,Yes,5+[419],8+[420],10+[421],No,Yes,Yes
Photo rotation,Yes,5+[419],8+[420],10+[421],No,Yes,Yes
Photo red-eye reduction,2.3+[422],5+[419],Yes 8.1+[423],10+[421],No,No[424],No
HDR photos option,4.2+  some manufacturers earlier[425],Yes[426],8.1+,10.1+[427],No,No[428],Yes
Photo/video import from memory cards,Yes,With Camera Connection Kit[389],Yes,Yes,Yes,Yes,Yes
Video trim,2.3+,Yes,8+[429],10+[430],No,?,No
Feature,Android,iOS,Windows 10 Mobile,BlackBerry 10,Tizen,Sailfish OS,Ubuntu Touch
Multitasking,Yes,7+;[431] 4–6: Limited[432],8+ [433] 7.5: Limited,Yes,2+[165],Yes,Yes
Quick app switching,7+[434],9+: via 3D Touch;[435] 5+: only on iPad[436],via Back button when no back history,No,No,No,Yes
Document-centric multitasking,5+[437],13+: can open different views of same app side by side[438],No,No,No,No,No
Split-screen app usage,7+  some manufacturers earlier[439],9+: only on iPad with 2 GB RAM or more[440],No  3rd party software like Monument Browser[441],No  3rd party software[442],Yes[443],No [444],Tablet-only
Desktop interactive widgets,Yes,10+: App icons via 3D Touch and/or dedicated widget screen[445],No (Live Tiles are not interactive)[446],No,No,Yes,No
Lock screen widgets,Yes (Notifications and settings). Full Widgets on Android 4.2–4.4 only.[447][448],Media player  voicemail  camera;[449] 5+: Notifications; 7+: Control Center 8+: Interactive Notifications[450] 10+: Full widgets[445],Media Player; 8+: Live Apps and notifications[451],Yes  interactive notifications  camera  alarm,Media player; Notifications (SMS  call),Yes,No
Notification view widgets,4.1+: Google Now and possible with 3rd party apps,8+,No,Yes  BB 10.2,No,Yes,No
Quick settings toggles,2+[452],7+[453],8.1+[101],10+  customizable in 10.2.1+[454],No,Via the Patchmanager app[455],Yes
Search multiple internal apps at once,Yes,Yes,8.1+[456],Yes,Yes,No[457],Yes
Settings search,5+ or 3rd party software like LineageOS[458],9+[459],8.1update2+[53],Yes,No,No,Yes
Search all fields of internal objects,Only search Contacts name field but not any other field[460],6+[461],Contacts are searched by name  nick and company [462] but not other fields like address or notes[463],Yes[464],Only searches contacts by name,First name  last name  nickname  also the multiple field called "Details"[465]|?,[added]
Core apps missing search,Calendar[466] (available since 3+ and HTC Sense),Bookmarks[467],Video[468],?,?,?,?
Phone number links to dialer,Available in stock Android  but not all devices enable it.[469],Yes,Yes,Yes,Yes  but not in browser,Yes,Yes
Addresses links to maps,In Contacts  but not in Calendar[470] nor in Gmail[471],Yes[472],Yes[473],Yes[474],?,Yes,?
Dates links to calendar,No,Yes[475],Yes,Yes,Yes,Yes,?
Feature,Android,iOS,Windows 10 Mobile,BlackBerry 10,Tizen,Sailfish OS,Ubuntu Touch
Custom ringtones,Yes,Yes[476],7.10.7720.0+[477],Yes,Yes,Yes,Yes
Custom SMS/MMS tones,Yes[478],5+[479],8 GDR3+[83],Yes[480],?,Yes,No
Custom vibrate alert patterns,No [481] possible on some Samsung devices such as Galaxy S III  but limited[482],5+[483][484],No,Yes[480],?,API available for 3rd party apps,No
Dismiss repeating alarm clock before trigger,4.4+[485],No[486],No,No,No,?,Yes
Tap to snooze[487],3rd party apps[488],Yes,No,No,No,?,Yes
Feature,Android,iOS,Windows 10 Mobile,BlackBerry 10,Tizen,Sailfish OS,Ubuntu Touch
Proxy server,3.1+[489] but only global  not per connection[490] and only works for the browser[491] 3rd party apps available[492],Yes,Yes,Yes,Yes,Yes[493],No
On-device encryption,3+[494] but insecure on Qualcomm devices[495],Yes[496] (3rd party software may attempt brute-force attacks on password[497]),8+[498],Yes[499] (3rd party software may attempt brute-force attacks on password[497]),No,No[500],No
External storage encryption,6+,External storage not available,10+  8.1+ Apps and data only[501],Yes[502],No,Yes,No
Zero knowledge encryption[503],No  data is accessible by Google[504] and shared with the American PRISM surveillance program.[505],No  data stored on iCloud is accessible by Apple[506] and shared with the American PRISM surveillance program.[505],No  data is accessible by Microsoft[507] and shared with the American PRISM surveillance program.[505],?,?,?,No
Privacy of synchronization[508],3rd party software like ownCloud[509],When synchronizing locally and not using iCloud,Partial  Contacts  Calendar and Mail can be kept private when using your own Exchange server or Office 365 own cloud instead of synchronizing with public cloud servers (that keeps data unencrypted)[510] for Photos and Office docs can be kept private when using your own Office 365 cloud or SharePoint [511] or synchronization of Phones can be disabled (by default).[512],When using your own BES instead of BlackBerry cloud BES (that keeps data unencrypted)[513],?,?,?
Sync to cloud communication encryption,2.3.4+[514],Yes[515],7.10.7720.0+[516],Yes[517],?,?,?
Wireless anti-tracking[518],Developer Options (9+)[519],8+[520],10+[521],No,No,?,No
Remote device location tracking,Yes[522],Yes[523],Yes[524],Yes,?,?,No
Remote device locking and/or data wipe,2.2+[525],Yes[523],Yes[524],Yes,?,?,No
End-to-end encrypted push notifications,Possible  notifications are handled by the app that can decrypt it[163],Possible since iOS 7  where the app can handle the notification and decrypt it[526],Possible  raw notifications are handled by the app that can decrypt it[527],?,?,?,Yes
SSH Client,Yes,Yes[528][529],Yes[530],Yes,?,Yes,Yes
VPN,Yes[531],Yes[532],8.1+[101],10+[533],?,Yes,Yes
OpenVPN,No  but possible with 3rd party firmware[534],Yes[535],No,No,?,Yes,Yes
WPA PEAP,Yes[536],Yes[537],Yes[538],Yes,?,In developer mode[539],Yes
Feature,Android,iOS,Windows 10 Mobile,BlackBerry 10,Tizen,Sailfish OS,Ubuntu Touch
Separate volume for ringtone and media,Yes,Yes,8.1+[101],Yes,?,Yes,Yes
Voice commands,Yes[540],5+ (Siri),8.1+ Microsoft Cortana[541],Yes[542],?,via 3rd party software such Saera[543],No
Offline voice commands,6+[544],Yes[545],Limited  Playback control not available[546],No[542],?,No,No
Voice recognition,Yes,5+ (Siri),8.1+ Microsoft Cortana[541],Yes,?,No,No
Offline voice recognition,4.1+[547],Limited  only calling and music playback[548],Limited  only calling and launching apps,No,No,No,No
Non-English voice recognition,Yes,Yes[299],Yes[329],Yes,?,No,No
Sound recorder,Very limited (Doesn't work in background[549] and not voice controlled),3+: Limited (Not voice controlled)[550][551],10+: Quite limited (doesn't work in background) [552] for older versions: 3rd party software  also similarly limited,10+ Embedded into Remember[553] app  works in background but not voice controlled. 7.1 and older: Very limited (Doesn't work in background and not voice controlled),Partial,3rd party software[554],No Third party app
Call recorder,Prevented by OS restrictions [555] but possible with 3rd party firmware[556],3rd party software[557],10+ some devices[558],With third-party software[559]|?|Yes [560]}},No,[added],[added]
Sound trim,No [561] but 3rd party software available[562],Yes[563],3rd party software[564],?,?,?,?
