Dataset name,Brief description,Preprocessing,Instances,Format,Default task,Created (updated),Reference,Creator
Microsoft Common Objects in Context (COCO),complex everyday scenes of common objects in their natural context.,Object highlighting  labeling  and classification into 91 object types.,2.500.000,Labeled images  text,Object recognition,2015,[50][51],T. Lin et al.
SUN Database,Very large scene and object recognition database.,Places and objects are labeled. Objects are segmented.,131.067,Images  text,Object recognition  scene recognition,2014,[52][53],J. Xiao et al.
ImageNet,Labeled object image database  used in the ImageNet Large Scale Visual Recognition Challenge,Labeled objects  bounding boxes  descriptive words  SIFT features,14.197.122,Images  text,Object recognition  scene recognition,2009 (2014),[54][55][56],J. Deng et al.
Open Images,A Large set of images listed as having CC BY 2.0 license with image-level labels and bounding boxes spanning thousands of classes.,Image-level labels  Bounding boxes,9.178.275,Images  text,Classification  Object recognition,2017,[57],[empty]
TV News Channel Commercial Detection Dataset,TV commercials and news broadcasts.,Audio and video features extracted from still images.,129.685,Text,Clustering  classification,2015,[58][59],P. Guha et al.
Statlog (Image Segmentation) Dataset,The instances were drawn randomly from a database of 7 outdoor images and hand-segmented to create a classification for every pixel.,Many features calculated.,2310,Text,Classification,1990,[60],University of Massachusetts
Caltech 101,Pictures of objects.,Detailed object outlines marked.,9146,Images,Classification  object recognition.,2003,[61][62],F. Li et al.
Caltech-256,Large dataset of images for object classification.,Images categorized and hand-sorted.,30.607,Images  Text,Classification  object detection,2007,[63][64],G. Griffin et al.
SIFT10M Dataset,SIFT features of Caltech-256 dataset.,Extensive SIFT feature extraction.,11.164.866,Text,Classification  object detection,2016,[65],X. Fu et al.
LabelMe,Annotated pictures of scenes.,Objects outlined.,187.240,Images  text,Classification  object detection,2005,[66],MIT Computer Science and Artificial Intelligence Laboratory
Cityscapes Dataset,Stereo video sequences recorded in street scenes  with pixel-level annotations. Metadata also included.,Pixel-level segmentation and labeling,25.000,Images  text,Classification  object detection,2016,[67],Daimler AG et al.
PASCAL VOC Dataset,Large number of images for classification tasks.,Labeling  bounding box included,500.000,Images  text,Classification  object detection,2010,[68][69],M. Everingham et al.
CIFAR-10 Dataset,Many small  low-resolution  images of 10 classes of objects.,Classes labelled  training set splits created.,60.000,Images,Classification,2009,[55][70],A. Krizhevsky et al.
CIFAR-100 Dataset,Like CIFAR-10  above  but 100 classes of objects are given.,Classes labelled  training set splits created.,60.000,Images,Classification,2009,[55][70],A. Krizhevsky et al.
CINIC-10 Dataset,A unified contribution of CIFAR-10 and Imagenet with 10 classes  and 3 splits. Larger than CIFAR-10.,Classes labelled  training  validation  test set splits created.,270.000,Images,Classification,2018,[71],Luke N. Darlow  Elliot J. Crowley  Antreas Antoniou  Amos J. Storkey
Fashion-MNIST,A MNIST-like fashion product database,Classes labelled  training set splits created.,60.000,Images,Classification,2017,[72],Zalando SE
notMNIST,Some publicly available fonts and extracted glyphs from them to make a dataset similar to MNIST. There are 10 classes  with letters A-J taken from different fonts.,Classes labelled  training set splits created.,500.000,Images,Classification,2011,[73],Yaroslav Bulatov
German Traffic Sign Detection Benchmark Dataset,Images from vehicles of traffic signs on German roads. These signs comply with UN standards and therefore are the same as in other countries.,Signs manually labeled,900,Images,Classification,2013,[74][75],S Houben et al.
KITTI Vision Benchmark Dataset,Autonomous vehicles driving through a mid-size city captured images of various areas using cameras and laser scanners.,Many benchmarks extracted from data.,>100 GB of data,Images  text,Classification  object detection,2012,[76][77],A Geiger et al.
Linnaeus 5 dataset,Images of 5 classes of objects.,Classes labelled  training set splits created.,8000,Images,Classification,2017,[78],Chaladze & Kalatozishvili
FieldSAFE,Multi-modal dataset for obstacle detection in agriculture including stereo camera  thermal camera  web camera  360-degree camera  lidar  radar  and precise localization.,Classes labelled geographically.,>400 GB of data,Images and 3D point clouds,Classification  object detection  object localization,2017,[79],M. Kragh et al.
11K Hands,11.076 hand images (1600 x 1200 pixels) of 190 subjects  of varying ages between 18 – 75 years old  for gender recognition and biometric identification.,None,11.076 hand images,Images and (.mat  .txt  and .csv) label files,Gender recognition and biometric identification,2017,[80],M Afifi
CORe50,Specifically designed for Continuous/Lifelong Learning and Object Recognition  is a collection of more than 500 videos (30fps) of 50 domestic objects belonging to 10 different categories.,Classes labelled  training set splits created based on a 3-way  multi-runs benchmark.,164.866 RBG-D images,images (.png or .pkl) and (.pkl  .txt  .tsv) label files,Classification  Object recognition,2017,[81],V. Lomonaco and D. Maltoni
THz and thermal video data set,This multispectral data set includes terahertz  thermal  visual  near infrared  and three-dimensional videos of objects hidden under people's clothes.,3D lookup tables are provided that allow you to project images onto 3D point clouds.,More than 20 videos. The duration of each video is about 85 seconds (about 345 frames).,AP2J,Experiments with hidden object detection,2019,[82][83],Alexei A. Morozov and Olga S. Sushkova
Dataset Name,Brief description,Preprocessing,Instances,Format,Default Task,Created (updated),Reference,Creator
Artificial Characters Dataset,Artificially generated data describing the structure of 10 capital English letters.,Coordinates of lines drawn given as integers. Various other features.,6000,Text,Handwriting recognition  classification,1992,[84],H. Guvenir et al.
Letter Dataset,Upper case printed letters.,17 features are extracted from all images.,20.000,Text,OCR  classification,1991,[85][86],D. Slate et al.
Character Trajectories Dataset,Labeled samples of pen tip trajectories for people writing simple characters.,3-dimensional pen tip velocity trajectory matrix for each sample,2858,Text,Handwriting recognition  classification,2008,[87][88],B. Williams
Chars74K Dataset,Character recognition in natural images of symbols used in both English and Kannada,[empty],74.107,[empty],Character recognition  handwriting recognition  OCR  classification,2009,[89],T. de Campos
UJI Pen Characters Dataset,Isolated handwritten characters,Coordinates of pen position as characters were written given.,11.640,Text,Handwriting recognition  classification,2009,[90][91],F. Prat et al.
Gisette Dataset,Handwriting samples from the often-confused 4 and 9 characters.,Features extracted from images  split into train/test  handwriting images size-normalized.,13.500,Images  text,Handwriting recognition  classification,2003,[92],Yann LeCun et al.
Omniglot dataset,1623 different handwritten characters from 50 different alphabetss.,Hand-labeled.,38.300,Images  text  strokes,Classification  one-shot learning,2015,[93][94],American Association for the Advancement of Science
MNIST database,Database of handwritten digits.,Hand-labeled.,60.000,Images  text,Classification,1998,[95][96],National Institute of Standards and Technology
Optical Recognition of Handwritten Digits Dataset,Normalized bitmaps of handwritten data.,Size normalized and mapped to bitmaps.,5620,Images  text,Handwriting recognition  classification,1998,[97],E. Alpaydin et al.
Pen-Based Recognition of Handwritten Digits Dataset,Handwritten digits on electronic pen-tablet.,Feature vectors extracted to be uniformly spaced.,10.992,Images  text,Handwriting recognition  classification,1998,[98][99],E. Alpaydin et al.
Semeion Handwritten Digit Dataset,Handwritten digits from 80 people.,All handwritten digits have been normalized for size and mapped to the same grid.,1593,Images  text,Handwriting recognition  classification,2008,[100],T. Srl
HASYv2,Handwritten mathematical symbols,All symbols are centered and of size 32px x 32px.,168233,Images  text,Classification,2017,[101],Martin Thoma
Noisy Handwritten Bangla Dataset,Includes Handwritten Numeral Dataset (10 classes) and Basic Character Dataset (50 classes)  each dataset has three types of noise: white gaussian  motion blur  and reduced contrast.,All images are centered and of size 32x32.,Numeral Dataset: 23330  Character Dataset: 76000,Images  text,Handwriting recognition  classification,2017,[102],M. Karki et al.
