Language,IBM Watson,Apertium,OpenLogos,Google Translate,Moses for Mere Mortals,Babel Fish,Bing Translator,GramTrans,SYSTRAN,IdiomaX
German to Chinese (Simplified),No,No,No,Yes,No,No,No,No,No,No
To Chinese (Traditional),English to Chinese (Traditional),Yes,No,No,Yes,No,Yes,Yes,No,Yes
German to Chinese (Traditional),No,No,No,Yes,No,No,No,No,No,No
To Dutch,English to Dutch,Yes,No,?,Yes,Yes,Yes,Yes,Yes,Yes
French to Dutch,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No
To French,English to French,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes
German to French,Yes,No,?,Yes,Yes,Yes,Yes,No,Yes,No
Spanish to French,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Catalan to French,No,Yes,No,Yes,Yes,No,Yes,No,No,No
Russian to French,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes
Dutch to French,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No
Italian to French,No,?,?,Yes,Yes,?,Yes,?,Yes,Yes
Breton to French,No,Yes,No,No,Yes,No,No,No,No,No
To Galician,English to Galician,No,Yes,?,Yes,Yes,No,No,No,No
Portuguese to Galician,No,Yes,No,Yes,Yes,No,No,No,No,No
Spanish to Galician,No,Yes,No,Yes,Yes,No,No,No,No,No
To German,Chinese (Simplified) to German,No,No,No,No,No,No,No,No,No
Chinese (Traditional) to German,No,No,No,No,No,No,No,No,No,No
English to German,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No
French to German,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No
Spanish to German,No,No,No,Yes,Yes,No,Yes,No,Yes,No
Russian to German,No,No,No,Yes,No,Yes,Yes,No,No,No
Italian to German,Yes,?,?,Yes,Yes,?,Yes,?,Yes,Yes
To Italian,English to Italian,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes
Spanish to Italian,No,No,?,Yes,Yes,?,Yes,?,Yes,Yes
French to Italian,No,No,?,Yes,Yes,?,Yes,?,Yes,Yes
German to Italian,Yes,No,?,Yes,Yes,?,Yes,?,Yes,Yes
To Japanese,English to Japanese,Yes,No,No,Yes,No,Yes,Yes,No,Yes
German to Japanese,No,No,No,Yes,No,No,Yes,No,No,No
To Korean,English to Korean,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes
To Portuguese,English to Portuguese,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes
To Russian,English to Russian,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes
French to Russian,No,No,No,Yes,Yes,No,Yes,No,No,No
Spanish to Russian,No,No,No,Yes,Yes,No,Yes,No,No,No
German to Russian,No,No,No,Yes,Yes,No,Yes,No,No,No
Italian to Russian,No,No,No,Yes,Yes,No,Yes,No,No,No
To Spanish,English to Spanish,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
Russian to Spanish,No,No,No,Yes,Yes,No,Yes,No,No,No
French to Spanish,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes
German to Spanish,No,No,?,Yes,Yes,No,Yes,No,Yes,No
Italian to Spanish,No,?,?,Yes,Yes,?,Yes,?,No,Yes
To Welsh,English to Welsh,No,No,No,Yes,Yes,No,Yes,No,No
Language,IBM Watson,Apertium,OpenLogos,Google Translate,Moses for Mere Mortals,Babel Fish,Bing Translator,GramTrans,SYSTRAN,IdiomaX
To Arabic,English to Arabic,Yes,No,No,Yes,No,No,Yes,No,Yes
To Catalan,English to Catalan,No,Yes,?,Yes,Yes,No,Yes,No,No
French to Catalan,No,Yes,No,Yes,Yes,No,Yes,No,No,No
Italian to Catalan,No,Yes,No,Yes,Yes,No,Yes,No,No,No
Occitan to Catalan,No,Yes,No,Yes,Yes,No,No,No,No,No
Spanish to Catalan,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No
To Czech,English to Czech,Yes,No,?,Yes,Yes,No,Yes,No,Yes
German to Czech,No,No,No,Yes,Yes,No,Yes,No,No,No
To Danish,English to Danish,Yes,No,?,Yes,Yes,No,Yes,Yes,No
To Esperanto,Catalan to Esperanto,No,Yes,No,Yes,Yes,No,No,No,No
Danish to Esperanto,No,No,No,Yes,Yes,No,No,Yes,No,No
English to Esperanto,No,Yes,No,Yes,Yes,No,No,Yes,No,No
French to Esperanto,No,Yes,No,Yes,Yes,No,No,No,No,No
Spanish to Esperanto,No,Yes,No,Yes,Yes,No,No,No,No,No
To Finnish,English to Finnish,Yes,No,?,Yes,Yes,No,Yes,No,Yes
To Greek,English to Greek,Yes,No,?,Yes,Yes,Yes,Yes,No,Yes
To Haitian Creole,English to Haitian Creole,No,No,No,Yes,Yes,No,Yes,No,No
To Hebrew,English to Hebrew,Yes,No,No,Yes,Yes,No,Yes,No,No
To Hindi,English to Hindi,Yes,No,No,Yes,No,No,Yes,No,No
To Hungarian,English to Hungarian,Yes,No,?,Yes,Yes,No,Yes,No,Yes
To Norwegian Bokmål,English to Norwegian Bokmål,Yes,No,?,Yes,Yes,No,No,Yes,No
Norwegian Nynorsk to Norwegian Bokmål,No,Yes,No,No,Yes,No,No,No,No,No
To Norwegian Nynorsk,Norwegian Bokmål to Norwegian Nynorsk,No,Yes,No,No,Yes,No,No,No,No
To Occitan,Catalan to Occitan,No,Yes,No,No,Yes,No,No,No,No
Spanish to Occitan,No,Yes,No,No,Yes,No,No,No,No,No
To Persian,English to Persian,No,No,No,Yes,No,No,Yes,No,No
To Polish,English to Polish,Yes,No,?,Yes,Yes,No,Yes,No,Yes
German to Polish,No,No,No,Yes,Yes,No,Yes,No,No,No
To Romanian,English to Romanian,Yes,No,?,Yes,Yes,No,Yes,No,Yes
To Serbo-Croatian,English to Serbo-Croatian,No,No,?,Yes,Yes,No,No,Yes,No
To Slovenian,English to Slovenian,Yes,No,No,Yes,Yes,No,No,No,No
German to Slovenian,No,No,No,Yes,Yes,No,No,No,No,No
To Swedish,English to Swedish,Yes,No,?,Yes,Yes,No,Yes,No,Yes
To Turkish,English to Turkish,Yes,No,No,Yes,No,No,Yes,No,Yes
To Ukrainian,English to Ukrainian,No,No,?,Yes,Yes,No,Yes,No,Yes
Total (confirmed),60,27,9,110,31,89,10,15,65,59
