hoekom?,hoezo? waarom?,how come? how so? why?
hoezit! (hoe is dit?),hoe gaat het? hoe is het?,how's it going?
hoërskool,voortgezet onderwijs (Netherlands) secundair onderwijs (Belgium),high school  secondary school
Hollands (taal),Nederlands (taal),Dutch (language)
horlosie,horloge,watch
hospitaal,ziekenhuis  hospitaal  gasthuis,hospital
hysbak,lift,lift  elevator
inskrywing,abonnement  inschrijving,subscription
jol,leukheid,fun  party
Julie,juli,July
Junie,juni,June
kaartjie,ticket (kaartje also used in compounds (e.g.  treinkaartje  buskaartje  etc.),ticket
kameelperd,giraffe,giraffe
kampanje,campagne similar pronunciation,campaign
Kanada,Canada,Canada
Kersfees,Kerstmis (Catholic) Kerstfeest (Protestant),Christmas
kitsbank,geldautomaat  bankautomaat,cash machine  ATM
koerant,krant courant older term,newspaper
kombuis,keuken kombuis means "galley".,kitchen
konserwatief,conservatief,conservative
kopiereg,kopierecht  copyright  auteursrecht,copyright
landdros,magistraat,magistrate
lê,leggen,lie  lay
leër,landmacht  leger,army
lemmetjie,limoen,lime
lemoen,sinaasappel,orange
Lid van Parlement (LP),parlementslid  kamerlid,Member of Parliament (MP)
lirieke,songtekst,lyrics
lokprent,trailer,film trailer
lugmag,luchtmacht,air force
lughawe,luchthaven,airport
lugpos,luchtpost,airmail
lugredery,luchtvaartmaatschappij,airline
lugwardin,stewardess,air hostess air stewardess
maalvleis,gehakt,mincemeat
mal oor,gek op,mad about
masjienkap,motorkap,bonnet (UK) hood (US)
meisie,meisje  meid,girl
mekaar,elkaar (mekaar also used in Belgium),each other
melkskommel,milkshake,milkshake
moffie,homo,gay  effeminate man
moltrein,metro,metro  subway train
moontlik,mogelijk,possible
muurpapier,behang,wallpaper
na,naar,to
ná,na,after
naby,dichtbij  nabij,close to
naweek,weekend  weekeinde,weekend
nie,niet,not
niggie,nichtje,niece
Nieu-Seeland,Nieuw-Zeeland,New Zealand
nuus,nieuws,news
nuusblad  nuustydskrif,opinieblad  nieuwsblad,news magazine  news letter
onderskrifte,ondertitels,subtitles
oomblik,moment  ogenblik,moment
oopmaak  maak oop,openen,to open
oorklanking,nasynchronisatie,dubbing
oorspronklik,origineel  oorspronkelijk,original
oos,oost,east
openbare maatskappy,naamloze vennootschap (NV),public limited company
ou  outjie,kerel  gozer,guy  bloke
outomaties,automatisch,automatic
padda,kikker pad means "toad",frog
passasier,passagier,passenger
perd,paard,horse
peuselhappies,snacks  hapjes,snacks
piesang,banaan less common: pisang,banana
pikkewyn,pinguïn  vetgans,penguin
polisiebeampte,politieagent,police officer
polisiestasie  polisiekantoor,politiebureau,police station
posbus,postbus,post office box
poskantoor,postkantoor,post office
posman,postbode,postman
prokureur,advocaat,attorney  solicitor  lawyer
pynappel,ananas,pineapple
reisagent  reisagentskap,reisbureau (Netherlands) reisagentschap (Belgium)  reisagent,travel agent  travel agency
rolprent,film rolprent considered dated,film
rubriekskrywer,columnist,newspaper columnist
sakrekenaar,rekenmachine  zakrekenmachine  calculator,calculator
sambreel,paraplu,umbrella
sampioen,champignon,mushroom
saans,'s avonds,in the evening
sê,zeggen,say
selfoon,mobiele telefoon  mobieltje (Netherlands) GSM (Belgium),mobile phone(UK) cellphone(US  South Africa)
sent,cent,cent
seuntjie,jongen zoontje means "(small) son",boy  young man
sinies,cynisch,cynical
sjokolade,chocolade,chocolate
skadu  skaduwee,schaduw  schaduwbeeld,shadow
skakel,bellen (schakelen means "to change gear"),dial  call (telephone number)
skeelhoofpyn,migraine,migraine
skootrekenaar,laptop,laptop
slagoffer,slachtoffer,victim
slaptjips,frieten,french fries  chips
sokker,voetbal,football  soccer
soos,als  zoals,like  such as
spinnekop,spin,spider
spoed,snelheid,speed
staatsdiens,civiele dienst (Netherlands) overheidsdienst (Belgium),civil service  public service
stasie,station,station
Statebond,Gemenebest van Naties,Commonwealth of Nations
stasiewa,stationwagen,station wagon  estate
streek,gewest  regio,region
stuurwiel,stuurrad,steering wheel
suid,zuid,south
suiwer,zuiver,clean
suurlemoen,citroen,lemon
sypaadjie,stoep  trottoir  voetpad,pavement (UK)  sidewalk (US)
tjek,cheque,cheque  check
toeter,claxon,hooter (UK)  horn (US)
troeteldier,huisdier,pet (animal)
tuisblad,homepagina  thuispagina,homepage
uitgawe,editie  versie  uitgave uitgaven can also mean "expenditure",edition  version
uitsaai,omroep  uitzending,broadcasting
uurglas,zandloper,hourglass
van,achternaam  van,surname
vanaand,vanavond,this evening
vanmôre,vanmorgen,this morning
vat,pakken,seize  clutch
verkleurmannetjie,kameleon,chameleon
vir,voor,for
vlak  peil,niveau  peil,level
vlugbeampte  vlugkelner,steward,air steward  flight attendant
voetsek! (voert sê ek!),verdwijn!,get lost! away with you!
vrieskas,vrieskist  diepvries  diepvriezer,freezer
vuurhoutjie,lucifer,match  light
wa,wagen,wagon
wasbak,wasbak  wastafel,washbasin  sink
wat,welke  wie,which  who
webwerf,website,website
weermag,krijgsmacht,defence force  armed forces
wêreldwyd,wereldwijd,worldwide
wees,zijn  wezen,to be
wes,west,west
woonstel,appartement,apartment  flat
yskas,koelkast  ijskast,refrigerator
Ysland,IJsland,Iceland
yster,ijzer,iron
Word,Afrikaans meaning,Dutch meaning
aardig,pleasant  strange,friendly
Afrikaans,Afrikaans language,African  also Afrikaans language
aftrek(ken),distract,deduct  also "to jerk off"  male masturbation
amper,nearly,scarcely
bliksem,lightning  also expletive meaning "bastard" (as noun) and "bloody" (as adjective). It can also mean to hit or an intention to hit someone to cause great bodily harm as in "Ek gaan jou bliksem" - "I am going to kill / hit you.",lightning
die,the,that one  which  who
dit,it,this  these
doos,box  also expletive "cunt",box  case  also "daft woman"
een,one,a  an (indefinite article)
flikker,sparkle,queer  homo
fok(ken),fuck  fucking,to breed  to rear
het,have  has,the (neuter gender)
Holland,Netherlands,former province of Holland
houtkop,racial slur for black African  literally "wooden head","wooden head"
kopje,small hill,cup
na,to,after
Nederduits,Dutch (as in Dutch Reformed Church),Low German Dutch formerly used the term to refer to the Dutch language
neuk(en),strike  hit,screw  hump  have sex with
piel,expletive "dick"  "penis",duckling
poes,expletive "cunt" or "pussy" (noun) or "fucking" (adjective),pussycat  tabby (although poesje is used as a vulgar term for "vagina")
rand,edge  brink  rim,South African currency  reef
vat,take,grab  seize
voor,before,for  before (written as vóór in Dutch)
Afrikaans,Dutch,English
Verstaan jy my?,Versta jij mij? / Begrijp je me?[132],Do you understand me?
Ek verstaan dit,Ik versta dit / Ik begrijp het[132],I understand it
Wat is jou naam?,Hoe heet je? Wat is jouw naam?,What is your name?
Wat maak jy?,Wat ben je aan het doen? Compare Dutch Wat maak jij? (What are you making?),What are you doing?
Dit maak my seer,Het doet me pijn,It hurts me
Ek hou van haar,Ik vind haar leuk,I like her
Ek is lief vir jou,Ik hou van jou Compare Dutch Ik ben lief voor jou (I am sweet to you),I love you
Ek het jou lief,Ik heb jou lief / Ik hou van jou,I love you
Is jy honger?,Heb je honger? / Heb jij honger?,Are you hungry?
Dié boek is vir jou,Dit boek is voor jou,This book is for you
Ek het al geëet,Ik heb al gegeten,I have already eaten
Kom jy saam met ons?,Kom je met ons mee?,Are you coming with us?
Stem jy saam?,Ben je het daarmee eens? Stem jij daarmee in?,Do you agree?
Stem jy [daartoe] in?,Stem jij daarmee in? / Ga je daarmee akkoord?,Do you agree [to it]?
Oop vanaand,Open vanavond,Open tonight
Hulle woon hier,Ze wonen hier Dialectal: Hullie wonen hier,They live here
Kan ons die middestad besoek?,Kunnen we de binnenstad bezoeken? Belgium Dutch: Kunnen we de middenstad bezoeken? [133],Can we visit the city centre?
Ek is halfpad daar,Ik ben halverwege,I am halfway there
Hierdie vrug proe/smaak sleg,Die vrucht hier smaakt slecht,This fruit tastes bad
Het jy dat gesê?,Heb je dat gezegd? Zei je dat?,Did you say that?
Hy het op die lughawe aangekom,Hij is op de luchthaven aangekomen,He has arrived at the airport
Moenie dit vergeet nie!,Vergeet hem niet!,Don't forget it!
As dit reën  sal dié sambreel jou beskerm,Als het regent  zal deze paraplu jou beschermen[134] *,If it rains  this umbrella will protect you
’n Lemoen is ’n oranjekleurige vrug,Een sinaasappel is een oranjekleurige vrucht,An orange is an orange-coloured fruit
’n Lemmetjie is ’n klein groen sitrusvrug,Een limoen is een kleine groene citrusvrucht,A lime is a small green citrus fruit
Ons hou daarvan om te braai,Wij houden ervan om te barbecueën Compare Dutch: braden (to roast)  Wij houden ervan om te braaien (braaien is a recent loanword from Afrikaans) **,We love to barbecue
Ek kan dit nie glo nie,Ik kan dit niet geloven,I cannot believe it
Afrikaans,Dutch,English translation (literal)
Uit die blou van onse hemel ,Uit het blauw van onze hemel,From the blue of our sky
Uit die diepte van ons see ,Uit de diepte van onze zee ,From the depths of our sea 
Oor ons ewige gebergtes,Over onze eeuwige gebergtes ,Over our eternal mountains
Waar die kranse antwoord gee.,Waar de rotsen antwoord geven.,Where the cliffs give answer
Deur ons vêr verlate vlaktes,Door onze ver verlaten vlaktes,Through our far-deserted plains
Met die kreun van ossewa.,Met het gekreun van ossenwagens,With the groan of ox-wagon
Ruis die stem van ons geliefde ,Ruist de stem van ons geliefde ,Rouses the voice of our beloved 
Van ons land Suid-Afrika.,Van ons land Zuid-Afrika.,Of our country South Africa
Ons sal antwoord op jou roepstem ,We zullen antwoorden op je roepen,We will answer to your calling 
Ons sal offer wat jy vra:,We zullen offeren wat jij vraagt,We will sacrifice what you ask
Ons sal lewe  ons sal sterwe ,We zullen leven  we zullen sterven,We will live  we will die
Ons vir jou  Suid-Afrika.,Wij voor jou  Zuid-Afrika.,We for Thee  South Africa.
