LinkedIn,LinkedIn,LinkedIn,No (but LinkedIn is free to use),N/A (Platform is directed toward individual researcher use. Millions of users are registered globally.)
Life Science Network,Life Science Network,Life Science Network gGmbH,Yes (upon request),Anyone can use.
Loki[14],Loki,University of Iowa,No,University of Iowa Institute for Clinical and Translational Science
Lyterati,Lyterati,Entigence Corporation,No,George Washington University  The New School  Lehigh University
McCormick Collaboration Visualization Tool,Collaboration at McCormick,Northwestern University,No,McCormick School of Engineering and Applied Science at Northwestern University
Mendeley,Mendeley,Elsevier,No,Anyone can use
MizzouLinks,none available,University of Missouri,Unknown,University of Missouri
MyScienceWork,MyScienceWork,Unknown,No (but anyone can register and use the network),Anyone can register and use. The network is directed at the individual researcher
OSU:pro,OSU:pro,Ohio State University,No (but can be licensed),Ohio State University
Pivot,Pivot,ProQuest  LLC,No,100 university campuses and research organizations globally
Portfolio/Showroom,Portfolio/Showroom,University of Applied Arts Vienna,Yes (starting 2019),[empty]
Profiles Research Networking Software,Profiles,Harvard University,Yes (BSD license),Harvard  UCSF  and many others (see Profiles users )
REACH NC Life Science Experts Visualization Tool,REACH NC,RENCI (Renaissance Computing Institute  a collaboration between University of North Carolina at Chapel Hill  Duke University and North Carolina State University) Duke Research Triangle Institute University of North Carolina General Administration,No (but free to the public),Appalachian State University Duke University East Carolina University Elizabeth City State University Fayetteville State University NC A&T North Carolina Central University North Carolina State University RTI International UNC-Asheville University of North Carolina at Chapel Hill UNC-Charlotte UNC-Greensboro UNC-Pembroke UNC-Wilmington Western Carolina University Winston-Salem State University
Research Accelerator,YCCI Research Accelerator,ResearchAccelerator.org,Unknown,Yale University
ResearcherID,ResearcherID,Clarivate Analytics,No (but ResearcherID network is free to access and use by individual users),N/A (Platform is directed toward individual researcher use)
ScholarBridge,ScholarBridge,ScholarBridge LLC,No,14 university members and free access for any individual student or researcher
SciENcv,SciENcv,A pilot program sponsored by the Federal Demonstration Partnership and the National Science and Technology Council (NSTC) supported by the STAR METRICS program,Yes,Sponsored by the Federal Demonstration Partnership and the NSTC's interagency groups: Research Business Model (RBM) and Science of Science Policy (SoSP)
Symplectic Elements,Symplectic Elements,Symplectic,No (However  an open source VIVO Harvester extension is available.),80+ major research institutions around the world  including the University of Cambridge (UK)  University of Oxford (UK)  University of Melbourne (AUS)  Duke University (US)  University of Auckland (NZ)  Cornell University (US)  Georgia Tech (US). (see Some of Symplectic's clients)
UNIWeb,UNIWeb,Proximify,No,University of Ottawa  McGill University  Dalhousie University  University of British Columbia Okanagan Campus  École de technologie supérieure  CIMVHR
VIVO[1][15],VIVO,Duraspace,Yes[16],Cornell University  University of Florida  Washington University in St. Louis  Weill Cornell Medical College  Indiana University  Ponce School of Medicine  Scripps Research Institute  Duke University  University of Colorado at Boulder  Northwestern University  University of Nebraska  University of Melbourne  Griffith University  Chinese Academy of Sciences  etc. There are currently over 140 VIVO implementations in the United States and international VIVO projects in over 25 countries.[17]
WorkWeb,WebWork at archive.org,Columbia University,No,Columbia University
Yaffle[18][19],Yaffle,Memorial University of Newfoundland,Yes,Memorial University of Newfoundland
Research Networking Tool,Data Source / Infeed Functionality,Auto Ingest?,Linked Open Data?,Data Export Types
Academic Room,Manual entry of data by users. May be some auto-ingest of PubMed citation data,Unknown,Unknown,Unknown
Activity Insight,Information typically imported from the following sources: PubMed  Google Scholar  Scopus  Web of Science  RefWorks  Banner  Datatel  PeopleSoft  CampusVue  Jenzabar  Sedona  EndNote  Mendeley  Zotero  BiBTeX  a RESTful web services API  CSV Data Imports  etc. Also supports various methods of manual entry.,Yes,Yes,RTF  XLS  CSV  PDF  HTML  XML
C-IKNOW,Network Surveys  automated upload for any kind of network data including archival  scientometric  webometric and computer log data. Also import data in GraphML  RDF  and DL (used by UCINET),Yes(for defined data),Yes,RDF  XML/RDF
PROFILES by Mentis® (formerly Collaborative Partnership / Profile System),Automated or on-demand import from PubMed  Google Scholar  Web of Science  Scopus  Banner  PeopleSoft  Web Services  Flat files and Manual Entry. Can be easily configured with any institutional subscription or database.,Yes,Yes,RTF  XLS  CSV  PDF  HTML  XML  JSON
Community Academic Profiles - CAP,CAP automatically generates a profile for all faculty  physicians  students  postdocs and staff (both academic and administrative) in the School of Medicine. Data flows automatically from a variety of source systems.,Yes,Unknown,Unknown
Converis,Default connection to Clarivate Analytics Web of Science  Scopus  pubmed  europubmed  etc. Ay internal data feed (HR  finance can be configured),Yes—can be pre-populated and alerts recommend new data,Yes—can be used to power VIVO,Excel (.xlsx)  EndNote (.ciw)  BibTex (.bib)  XML  JSON  PDF  RTF
CurvitaTM Profile Manager,Information collected from university systems,Yes,Unknown,Unknown
CUSP - Columbia University Scientific Profiles,Databases for employees and grants; PubMed for publications,Yes,Unknown,Unknown
Digital Vita,PubMed  some from HR system  direct input from investigators. System authenticates users through an application developed by the IT group that supports the Senior Vice Chancellor of Health Sciences; that system accesses the HR system for data about employees' rank and status (active or not)  working with the grants office to get a regular report of data from their proposal database. Manually entered publications/presentations are automatically forwarded to co-authors.,Yes (Some),Yes,PDF  RTF
Elsevier's Pure (now integrated with SciVal Experts),Sources include Scopus  Web of Science  PubMed  Embase  Mendeley  arXiv  Worldcat  CrossRef  Journal TOC  CAB Abstracts  SAO/NASA Astrophysics Data System and SciVal Funding opportunities; Data from institutions' internal systems  including HR data  grants  publications  patents  core facilities/resources  etc. Researchers or proxy users can enter additional content into the profiles  including research statements  research interest keywords  publications  grants  patents  books  creative works  education  researcher datasets  press clippings  awards and honors; free text can also be imported. Integration with all major institutional repositories.,Yes,Yes,XML  RDF  SPARQL  CSV  CERIF XML  MS Word  Excel  PDF  ATOM/XML web services  EndNote/Reference Manager  BibTex  various government assessment submission formats
Elsevier's SciVal,Scopus and ScienceDirect usage data,Yes,No,CSV  PDF  PNG  JPEG
Epernicus Solutions & Epernicus Network,Data entered by applicant,No,Unknown,Unknown
ERIM Member Profile System (ERIM MIS),ERIM MIS database  Erasmus Publication Repository  Oracle portal,Yes,Unknown,Unknown
Esploro,Information is imported from ProQuest‘s Summon Service and from the following sources: PubMed  ORCID  BiBTeX  a RESTful web services API  CSV Data Imports  etc. Also supports methods of manual entry.,Yes,Yes,RTF  XLS  CSV  PDF  HTML  XML
EUREKA!TM Enhancing Student Research,Information about faculty research interests,No,Unknown,Unknown
Expertise @ Maryland,Central university faculty database,Yes,Unknown,Unknown
Faculty Profile System,Manually entered data about the faculty (faculty can enter  a proxy can enter  or designated staff work on maintaining profiles),No (Faculty status verified by comparison with UC Irvine HR's Academic Personnel system),Unknown,Unknown
Faculty Research Information Profile (FRIP),Discontinued. Work on this system ceased; moved on to developing Digital Vita,N/A,N/A,N/A
Faculty Scholarly Productivity Index,FSP Database (2007–2008),Yes,Unknown,Unknown
GENIUS,InfoEd proprietary grant funding databases,Yes (But only of InfoEd database data. Faculty profile information must be entered manually.),Unknown,Unknown
Google,Institution's directory  news releases  and other institutional websites,Yes,Yes,Many types  depending on the format of the file retrieved.
HUBzero,Comprehensive portal to support virtual research organizations including modular Web 2.0 tools  modeling and simulation tools  computational integration  identity management  workflow  personal profile management  data management  education,Yes,Yes,Unknown
iamResearcher,Unknown,Unknown,Unknown,Unknown
iAMscientist,PubMed,Yes,Unknown,Unknown
i2iConnect,Listings of industry licensing representatives categorized by product and disease categories with matchmaking and collaborator discovery features,Yes,Unknown,Unknown
InCites,Clarivate Analytics Web of Science  ESI  JCR,No,No,XML  .mbb  XLS
INDURE (Indiana Database for University Research Expertise),Faculty-entered information about research  faculty home pages,Yes? (Partial?),Unknown,Unknown
Lattes Database,Unknown,Unknown,Unknown,Unknown
LatticeGrid,Medical School Faculty database  PubMed  InfoEd  Northwestern's eIRB database,Yes,Yes,Microsoft Word  Excel  PDF
LinkedIn,Information entered manually by user,No,Unknown,Unknown
Life Science Network,PubMed / Information entered manually by user.,No,Yes,CSV (for some modules).
Loki,Local Medline  PubMed  local NSF award database  local NIH RePORTER database  campus directory services,Yes (Partial),Unknown,Unknown
Lyterati,PubMed  Google Scholar  BibTex  Ellucian  PeopleSoft  Workday  RESTful APIs  Template Driven Imports  CSV  Excel  Manual Entry Using Webpages  Faculty CVs,Yes,Unknown,PDF  MS Word  Excel  CSV  Web Services
McCormick Collaboration Visualization Tool,Clarivate Analytics Web of Science,Yes,Unknown,Unknown
MizzouLinks,Information collected from interviews and imported from a few institutional systems,No,Unknown,Unknown
MyScienceWork,Information input by user,No,Unknown,Unknown
OSU:pro,OSU systems,Yes,Unknown,Unknown
Pivot,Combines editorially created data on funding opportunities and profiles. Profile data sources from publicly available university organization and faculty member/researcher information  user-generated data  PubMed  Agricola  ERIC  and ProQuest citation databases  indexed faculty/researcher webpages.,Yes (for all citation data from sources listed in DataSource. Profiles editorially created  but user-generated profiles also included),No,Unknown
Profiles Research Networking Software,HR systems  PubMed  NIH RePORTER  commercial sources of publication data  institution-provided and user managed data,Yes,Yes,XML  RDF  SPARQL
REACH NC Life Science Experts Visualization Tool,SciVal Experts  RAMSES,Yes,Yes,RSI  CSV  Web-service API
Research Accelerator,Information entered by individual members,No,Unknown,Unknown
ResearcherID,Manually entered biographical and bibliographical information. Members can search Web of Science  Web of Knowledge  and other online collections  or manually enter publication data. Accounts can be created by individuals or by administrators using a web service.,Yes (Partial; profiles created by administrators are pre-populated for individuals to review.),No,None
SciENcv,Information that would normally be found in a curriculum vitae or biosketch,Yes,Unknown,Uses open data exchange standards
Symplectic Elements,Custom import from any internal data source via API  out of the box automatic bibliographic import (subject to subscriptions where appropriate) from arXiv  Cinii  CrossRef  DBLP  Europe PMC  figshare  PubMed  RePeC  Scopus  Web of Science  with more planned. Secure ORCID integration also available. In-feed from HR/Identity systems  internal grant databases. Integration with all major repository technologies.,Yes Through integrated portals like VIVO and Profiles RNS,Yes Source for linked data,CSV  CERIF XML  MS Word  Excel  PDF (APA6)  ATOM/XML web services  EndNote/Reference Manager  BibTex  RDF (Linked Data)  various government assessment submission formats
UNIWeb,Users can enter their CV or bibliographic data manually  or import from the Canadian Common CV  PubMed  Google Scholar  Scopus  Web of Science  Bibtek  Endnote.,Unknown,Unknown,XML  MS Word  Excel
VIVO,PubMed  NIH RePORTER  PeopleSoft  internal HR & administrative databases  Scopus (with institutional license)  Web of Science (with institutional license); emphasis on verified data sources  many many others being ingested at various institutions.,Yes (manual data entry possible  too),Yes,RDF  GraphXML  CSV file
Yaffle,Memorial University systems,Yes,Unknown,Unknown
