Cyberoam,Proprietary,Included Firewall Sophos appliance,Windows-based appliance embedded firewall distribution
D-Link,Proprietary,Included Firewall DFL,Windows-based appliance embedded firewall distribution
Endian Firewall,Proprietary,Free / Paid,Linux-based appliance
Forcepoint NGFW,Proprietary,Included on all Forcepoint NGFW devices,Proprietary operating system
OPNsense,Simplified BSD / FreeBSD License,Free / Paid,FreeBSD-based appliance firewall distribution
pfSense,ESF/Apache 2.0,Free / Paid,FreeBSD-based appliance firewall distribution
Untangle,GPL,Free / Paid,Linux-based appliance firewall distribution
Zeroshell,GPL,Free / Paid,Linux/NanoBSD-based appliance firewall distribution
SmoothWall,GPL,Free / Paid,Linux-based appliance embedded firewall distribution [4]
IPFire,GPL,Free (Donations welcomed),Linux-based appliance embedded firewall distribution
WatchGuard,Proprietary,Included on all Firebox devices,Proprietary  Fireware OS  Based on the Linux kernel
WinGate,Proprietary,Free / Paid,Windows-based appliance embedded firewall distribution
Can Target:,Changing default policy to accept/reject (by issuing a single rule),IP destination address(es),IP source address(es),TCP/UDP destination port(s),TCP/UDP source port(s),Ethernet MAC destination address,Ethernet MAC source address,Inbound firewall (ingress),Outbound firewall (egress)
Trend Micro Internet Security,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
Untangle,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Vyatta,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
Windows XP Firewall,No,No,Yes,Partial[a],No,No,No,Yes,No
Windows Vista Firewall,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
Windows 7 / Windows 2008 R2 Firewall,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes
WinGate,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes
Zeroshell,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Zorp,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No
pfSense,Yes,Yes,Yes,Yes,Yes,No[5],No[5],Yes,Yes
IPFire,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Can:,work at OSI Layer 4 (stateful firewall),work at OSI Layer 7 (application inspection),Change TTL? (Transparent to traceroute),Configure REJECT-with answer,DMZ (de-militarized zone) - allows for single/several hosts not to be firewalled.,Filter according to time of day,Redirect TCP/UDP ports (port forwarding),Redirect IP addresses (forwarding),Filter according to User Authorization,Traffic rate-limit / QoS,Tarpit,Log
Sidewinder,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Untangle,Yes,Yes (Some modules),No,No,Yes,Yes (With Policy manager),Yes,Yes,Yes,Yes,Yes,Yes
WinGate,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes
Zeroshell,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
pfSense,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
IPFire,Yes,Yes,?,No,Yes,Yes,Yes,Yes,?,Yes,No,Yes
Features:,Configuration: GUI  text or both modes?,Remote Access: Web (HTTP)  Telnet  SSH  RDP  Serial COM RS232  ...,Change rules without requiring restart?,Ability to centrally manage all firewalls together
Untangle,both,SSH (Not enabled by default)  Web GUI ,Yes,Yes
WinGate,GUI,Proprietary user interface,Yes,N/A
ClearOS,both,RS232  SSH  WebConfig ,Yes,Yes with ClearDNS
Zeroshell,GUI,SSH  Web (HTTPS)  RS232,Yes,No
pfSense,both,SSH  Web (HTTP/HTTPS)  RS232,Yes,No
IPFire,both,SSH  Web (HTTPS)  RS232,Yes,No
