CUP,LALR(1),?,Java,Mixed,external,Java virtual machine,No,Free  BSD-like
Dragon,LR(1)  LALR(1),?,C++  Java,Separate,generated,All,No,Free  GNU GPL
eli,LALR(1),?,C,Mixed,generated,POSIX,No,Free  GNU GPL  GNU LGPL
Tunnel Grammar Studio,Recursive descent  backtracking,ABNF,C++,Separate,generated,Windows,Yes,Proprietary
Essence,LR(?),?,Scheme 48,Mixed,external,All,No,Free  BSD
Eto.Parse,LL(k),BNF  EBNF or C#,N/A (state machine is runtime generated),Separate,internal,.NET Framework,No,Free  MIT
eyapp,LALR(1),?,Perl,Mixed,external or generated,All,No,Free  Artistic
Frown,LALR(k),?,Haskell 98,Mixed,external,All,No,Free  GNU GPL
geyacc,LALR(1),?,Eiffel,Mixed,external,All,No,Free  MIT
GOLD,LALR(1),BNF,x86 assembly language  ANSI C  C#  D  Java  Pascal  Object Pascal  Python  Visual Basic 6  Visual Basic .NET  Visual C++,Separate,generated,Windows,Yes,Free  zlib modified
GPPG,LALR(1),Yacc,C#,Separate,external,Windows,Yes,Free  BSD
Grammatica,LL(k),BNF dialect,C#  Java,Separate,generated,Java virtual machine,No,Free  BSD
HiLexed,LL(*),EBNF or Java,Java,Separate,internal,Java virtual machine,No,Free  GNU LGPL
Hime Parser Generator,LALR(1)  GLR,BNF dialect,C#  Java  Rust,Separate,generated,.NET Framework  Java virtual machine,No,Free  GNU LGPL
Hyacc,LR(1)  LALR(1)  LR(0),Yacc,C,Mixed,external,All,No,Free  GNU GPL
Irony,LALR(1),C#,N/A (state machine is runtime generated),Separate,internal,.NET Framework,Yes,Free  MIT
iyacc,LALR(1),Yacc,Icon,Mixed,external,All,No,Free  GNU LGPL
jacc,LALR(1),?,Java,Mixed,external,Java virtual machine,No,Free  BSD
JavaCC,LL(k),EBNF,Java  C++  JavaScript (via GWT compiler)[3],Mixed,generated,Java virtual machine,Yes,Free  BSD
jay,LALR(1),Yacc,C#  Java,Mixed,none,Java virtual machine,No,Free  BSD
JFLAP,LL(1)  LALR(1),?,Java,?,?,Java virtual machine,Yes,?
JetPAG,LL(k),?,C++,Mixed,generated,All,No,Free  GNU GPL
JS/CC,LALR(1),EBNF,JavaScript  JScript  ECMAScript,Mixed,internal,All,Yes,Free  BSD
KDevelop-PG-Qt,LL(1)  backtracking  shunting-yard,?,C++,Mixed,generated or external,All  KDE,No,Free  GNU LGPL
Kelbt,Backtracking LALR(1),?,C++,Mixed,generated,POSIX,No,Free  GNU GPL
kmyacc,LALR(1),?,C  Java  Perl  JavaScript,Mixed,external,All,No,Free  GNU GPL
Lapg,LALR(1),?,C  C++  C#  Java  JavaScript,Mixed,generated,Java virtual machine,No,Free  GNU GPL
Lark,LALR(1)  Earley  CYK,EBNF,Python (no generation  library),Separate,none,All,No,Free  MIT
Lemon,LALR(1),?,C,Mixed,external,All,No,Free  public domain
LEPL,Recursive descent,Python,Python (no generation  library),Separate,none,All,No,Free  MPL  GNU LGPL
Lime,LALR(1),?,PHP,Mixed,external,All,No,Free  GNU GPL
LISA,LR(?)  LL(?)  LALR(?)  SLR(?),?,Java,Mixed,generated,Java virtual machine,Yes,Free  public domain
LLgen,LL(1),?,C,Mixed,external,POSIX,No,Free  BSD
LLnextgen,LL(1),?,C,Mixed,external,All,No,Free  GNU GPL
LLLPG,LL(k) + syntactic and semantic predicates,ANTLR-like,C#,Mixed,generated (?),.NET Framework  Mono,Visual Studio,Free  GNU LGPL
LPG,Backtracking LALR(k),?,Java,Mixed,generated,Java virtual machine,No,Free  EPL
LRSTAR,LALR(1)  LR(1)  LR(*),EBNF  Yacc-like,C++,Separate,generated,Windows,Visual Studio,Free  BSD
Menhir,LR(1),?,OCaml,Mixed,generated,All,No,Free  QPL
ML-Yacc,LALR(1),?,ML,Mixed,external,All,No,?
Monkey,LR(1),?,Java,Separate,generated,Java virtual machine,No,Free  GNU GPL
Msta,LALR(k)  LR(k),YACC  EBNF,C  C++,Mixed,external or generated,POSIX  Cygwin,No,Free  GNU GPL
MTP (More Than Parsing),LL(1),?,Java,Separate,generated,Java virtual machine,No,Free  GNU GPL
MyParser,LL(*),Markdown,C++11,Separate,internal,Any with standard C++11 compiler,No,Free  MIT
NLT,GLR,C#/BNF-like,C#,Mixed,mixed,.NET Framework,No,Free  MIT
ocamlyacc,LALR(1),?,OCaml,Mixed,external,All,No,Free  QPL
olex,LL(1),?,C++,Mixed,generated,All,No,Free  GNU GPL
parglare,Scannerless LALR(1)/SLR(1)/GLR,BNF-like  Python,N/A (state machine is runtime generated),Mixed,none,All,No,Free  MIT
Parsec,LL  backtracking,Haskell,Haskell,Mixed,none,All,No,Free  BSD
Parse::Yapp,LALR(1),?,Perl,Mixed,external,All,No,Free  GNU GPL
Parser Objects,LL(k),?,Java,Mixed,?,Java virtual machine,No,Free  zlib
PCCTS,LL,?,C  C++,?,?,All,No,?
PLY,LALR(1),BNF,Python,Mixed,generated,All,No,Free  MIT
PlyPlus,LALR(1),EBNF,Python,Separate,generated,All,No,Free  MIT
PRECC,LL(k),?,C,Separate,generated,DOS  POSIX,No,Free  GNU GPL
QLALR,LALR(1),?,C++,Mixed,external,All,No,Free  GNU GPL
RPATK,Recursive descent  backtracking,BNF,C (no generation  library),Separate,none,All,No,Free  GNU GPL
SableCC,LALR(1),?,C  C++  C#  Java  OCaml  Python,Separate,generated,All,No,Free  GNU LGPL
SLK,LL(k) LR(k) LALR(k),EBNF,C  C++  C#  Java  JavaScript,Separate,external,All,No,SLK[4]
SP (Simple Parser),Recursive descent,Python,Python,Separate,generated,All,No,Free  GNU LGPL
Spirit,Recursive descent,?,C++,Mixed,internal,All,No,Free  Boost
Sprache,LL  backtracking,C#,interpreted,Mixed,internal,.NET Framework,No,Free  MIT
Styx,LALR(1),?,C  C++,Separate,generated,All,No,Free  GNU LGPL
Sweet Parser,LALR(1),?,C++,Separate,generated,Windows,No,Free  zlib
Tap,LL(1),?,C++,Mixed,generated,All,No,Free  GNU GPL
TextTransformer,LL(k),?,C++,Mixed,generated,Windows,Yes,Proprietary
TinyPG,LL(1),?,C#  Visual Basic,?,?,Windows,Yes,Partial  CPOL 1.0
Toy Parser Generator,Recursive descent,?,Python,Mixed,generated,All,No,Free  GNU LGPL
TP Yacc,LALR(1),?,Turbo Pascal,Mixed,external,All,Yes,Free  GNU GPL
UltraGram,LALR(1)  LR(1)  GLR,BNF,C++  Java  C#  Visual Basic .NET,Separate,external,Windows,Yes,Free  public domain
UniCC,LALR(1),EBNF,C  C++  Python  JavaScript  JSON  XML,Mixed,generated,POSIX,No,Free  BSD
UrchinCC,LL(1),?,Java,?,generated,Java virtual machine,No,?
Whale,LR(?)  some conjunctive stuff  see Whale Calf,?,C++,Mixed,external,All,No,Proprietary
wisent,LALR(1),?,C++  Java,Mixed,external,All,No,Free  GNU GPL
Yacc AT&T/Sun,LALR(1),Yacc,C,Mixed,external,POSIX,No,Free  CPL & CDDL
Yacc++,LR(1)  LALR(1),Yacc,C++  C#,Mixed,generated or external,All,No,Proprietary
Yapps,LL(1),?,Python,Mixed,generated,All,No,Free  MIT
yecc,LALR(1),?,Erlang,Separate,generated,All,No,Free  Apache 2.0
Visual BNF,LR(1)  LALR(1),?,C#,Separate,generated,.NET Framework,Yes,Proprietary
YooParse,LR(1)  LALR(1),?,C++,Mixed,external,All,No,Free  MIT
Parse,LR(1),BNF in C++ types,?,?,none,C++11 standard compiler,No,Free  MIT
GGLL,LL(1),Graph,Java,Mixed,generated,Windows,Yes,Free  MIT
Product,Parsing algorithm,Input grammar notation,Output languages,Grammar  code,Lexer,Development platform,IDE,License
Name,Parsing algorithm,Output languages,Grammar  code,Development platform,License
Arpeggio,PEG parser interpreter  Packrat,Python (no generation  interpreted),Mixed,All,Free  MIT
AustenX,Packrat (modified),Java,Separate,All,Free  BSD
Aurochs,Packrat,C  OCaml  Java,Mixed,All,Free  GNU GPL
BNFlite,Recursive descent,C++,Mixed,All,Free  MIT
Canopy,Packrat,Java  JavaScript  Python  Ruby,Separate,All,Free  GNU GPL
CL-peg,Packrat,Common Lisp,Mixed,All,Free  MIT
Drat!,Packrat,D,Mixed,All,Free  GNU GPL
Frisby,Packrat,Haskell,Mixed,All,Free  BSD
grammar::peg,Packrat,Tcl,Mixed,All,Free  BSD
Grako,Packrat + Cut + Left Recursion,Python  C++ (beta),Separate,All,Free  BSD
IronMeta,Packrat,C#,Mixed,Windows,Free  BSD
Katahdin,Packrat (modified)  mutating interpreter,C#,Mixed,All,Free  public domain
Laja,2-phase scannerless top-down backtracking + runtime support,Java,Separate,All,Free  GNU GPL
lars::Parser,Packrat (supporting left-recursion and grammar ambiguity),C++,Identical,All,Free  BSD
LPeg,Parsing machine,Lua,Mixed,All,Free  MIT
lug,Parsing machine,C++17,Mixed,All,Free  MIT
Mouse,Recursive descent,Java,Separate,Java virtual machine,Free  Apache 2.0
Narwhal,Packrat,C,Mixed,POSIX  Windows,Free  BSD
Nearley,Earley,JavaScript,Mixed,All,Free  MIT
Nemerle.Peg,Recursive descent + Pratt,Nemerle,Separate,All,Free  BSD
neotoma,Packrat,Erlang,Separate,All,Free  MIT
NPEG,Recursive descent,C#,Mixed,All,Free  MIT
OMeta,Packrat (modified  partial memoization),JavaScript  Squeak  Python,Mixed,All,Free  MIT
PackCC,Packrat (modified),C,Mixed,All,Free  MIT
Packrat,Packrat,Scheme,Mixed,All,Free  MIT
Pappy,Packrat,Haskell,Mixed,All,Free  BSD
parboiled,Recursive descent,Java  Scala,Mixed,Java virtual machine,Free  Apache 2.0
Lambda PEG,Recursive descent,Java,Mixed,Java virtual machine,Free  Apache 2.0
parsepp,Recursive descent,C++,Mixed,All,Free  public domain
Parsnip,Packrat,C++,Mixed,Windows,Free  GNU GPL
peg,Recursive descent,C,Mixed,All,Free  MIT
PEG.js,Packrat (partial memoization),JavaScript,Mixed,All,Free  MIT
peg-parser,PEG parser interpreter,Dylan,Separate,All,?
Pegasus,Recursive descent  Packrat (selectively),C#,Mixed,Windows,Free  MIT
pegc,Recursive descent,C,Mixed,All,Free  public domain
pest,Recursive descent,Rust,Separate,All,Free  MPL
PetitParser,Packrat,Smalltalk  Java  Dart,Mixed,All,Free  MIT
PEGTL,Recursive descent,C++11,Mixed,All,Free  MIT
Parser Grammar Engine (PGE),Hybrid recursive descent / operator precedence[5],Parrot bytecode,Mixed,Parrot virtual machine,Free  Artistic 2.0
PyPy rlib,Packrat,Python,Mixed,All,Free  MIT
pyPEG,PEG parser interpreter  Packrat,Python,Mixed,All,Free  GNU GPL
Rats!,Packrat,Java,Mixed,Java virtual machine,Free  GNU LGPL
Spirit2,Recursive descent,C++,Mixed,All,Free  Boost
textX,PEG parser interpreter  Packrat,Python (no generation  interpreted),Separate,All,Free  MIT
Treetop,Recursive descent,Ruby,Mixed,All,Free  MIT
Yard,Recursive descent,C++,Mixed,All,Free  MIT or public domain
Waxeye,Parsing machine,C  Java  JavaScript  Python  Racket  Ruby,Separate,All,Free  MIT
PHP PEG,PEG Parser?,PHP,Mixed,All,Free  BSD
Name,Parsing algorithm,Input grammar notation,Output languages,Grammar  code,Lexer,Development platform,IDE,License
ACCENT,Earley,Yacc variant,C,Mixed,external,All,No,Free  GNU GPL
APaGeD,GLR  LALR(1)  LL(k),?,D,Mixed,generated,All,No,Free  Artistic
Bison,LALR(1)  LR(1)  IELR(1)  GLR,Yacc,C  C++  Java  XML,Mixed  except XML,external,All,No,Free  GNU GPL
DMS Software Reengineering Toolkit,GLR,?,Parlanse,Mixed,generated,Windows,No,Proprietary
DParser,Scannerless GLR,?,C,Mixed,scannerless,POSIX,No,Free  BSD
Dypgen,Runtime-extensible GLR,?,OCaml,Mixed,generated,All,No,Free  CeCILL-B
E3,Earley,?,OCaml,Mixed,external  or scannerless,All,No,?
Elkhound,GLR,?,C++  OCaml,Mixed,external,All,No,Free  BSD
eu.h8me.Parsing,GLR,?,N/A (state machine is runtime generated),Separate,external,.NET Framework,No,Free  BSD
GDK,LALR(1)  GLR,?,C  Lex  Haskell  HTML  Java  Object Pascal  Yacc,Mixed,generated,POSIX,No,Free  MIT
Happy,LALR  GLR,?,Haskell,Mixed,external,All,No,Free  BSD
Hime Parser Generator,GLR,?,C#  Java  Rust,Separate,generated,.NET Framework  Java virtual machine,No,Free  GNU LGPL
IronText Library,LALR(1)  GLR,C#,C#,Mixed,generated or external,.NET Framework,No,Free  Apache 2.0
Jison,LALR(1)  LR(0)  SLR(1),Yacc,JavaScript  C#  PHP,Mixed,generated,All,No,Free  MIT
Syntax,LALR(1)  LR(0)  SLR(1) CLR(1) LL(1),JSON/Yacc,JavaScript  Python  PHP  Ruby  C#  Rust  Java,Mixed,generated,All,No,Free  MIT
Laja,Scannerless  two phase,Laja,Java,Separate,scannerless,All,No,Free  GNU GPL
ModelCC,Earley,Annotated class model,Java,Generated,generated,All,No,Free  BSD
parglare,Scannerless LR/GLR,BNF-like,Python interpreted  automata run-time generated,Mixed,scannerless,All,No,Free  MIT
P1,Combinators,BNF-like,OCaml,Mixed,external  or scannerless,All,No,?
P3,Earley–combinators,BNF-like,OCaml,Mixed,external  or scannerless,All,No,?
P4,Earley–combinators  infinitary CFGs,BNF-like,OCaml,Mixed,external  or scannerless,All,No,?
Scannerless Boolean Parser,Scannerless GLR (Boolean grammars),?,Haskell  Java,Separate,scannerless,Java virtual machine,No,Free  BSD
SDF/SGLR,Scannerless GLR,SDF,C  Java,Separate,scannerless,All,Yes,Free  BSD
SmaCC,GLR(1)  LALR(1)  LR(1),?,Smalltalk,Mixed,internal,All,Yes,Free  MIT
SPARK,Earley,?,Python,Mixed,external,All,No,Free  MIT
Tom,GLR,?,C,Generated,none,All,No,Free  "No licensing or copyright restrictions"
UltraGram,LALR  LR  GLR,?,C++  C#  Java  Visual Basic .NET,Separate,generated,Windows,Yes,Proprietary
Wormhole,Pruning  LR  GLR  Scannerless GLR,?,C  Python,Mixed,scannerless,Windows,No,Free  MIT
Whale Calf,General tabular  SLL(k)  Linear normal form (conjunctive grammars)  LR  Binary normal form (Boolean grammars),?,C++,Separate,external,All,No,Proprietary
yaep,Earley,Yacc-like,C,Mixed,external,All,No,Free  GNU LGPL
Zecc,Recursive pattern matching,Zecc/Zacc,Linkable library,Mixed,Scannerless,macOS,Yes,Proprietary
Name,Parsing algorithm,Input grammar notation,Boolean grammar abilities,Development platform,License
LuZc[6][7],delta chain,modular,Conjunctive  not complimentary,POSIX,Proprietary
bnf2xml,Recursive descent (is a text filter output is xml),simple BNF[clarification needed] grammar (input matching)  output is xml,?,Beta  and not a full EBNF parser,Free  GNU GPL
