COMPASS[1],Proprietary,CDC mainframe,CDC mainframe
MACRO-10,Free,PDP-10,PDP-10
MACRO-11,Free,PDP-11,PDP-11
vasm,Free,Zilog Z80  Motorola 6800 family,various
GPASM,GNU GPL,PIC microcontroller,many
MIPS,Free,MIPS,MIPS
Symbolic Optimal Assembly Program (SOAP),Proprietary,IBM 650,IBM 650
Technical Assembly System (TASS),Free,IBM 650,IBM 650
Autocoder[2],Free,IBM 705  14xx  1410  7010  7070  7072  7074  7080,various
Fortran Assembly Program (FAP),Free,IBM 709  704x  709x,Fortran Monitor System  IBSYS
GCOS Macro Assembly Program (GMAP),Free,GE-600 series  Honeywell 6000 series,GCOS
Macro Assembly Program (MAP),Free,IBM 709  704x  709x,IBSYS/IBJOB on 709  704x  709x
Meta-Symbol,Free,SDS Sigma series,BTM  UTS  CP-V
Symbolic Assembly Program (SAP),Free,IBM 704,IBM 704
Symbolic Programming System (SPS)[3],Free,IBM 14xx  1620  1710,IBM 1401  1440  1460  1620  1710
ASMB  ASBL  NSBL - Numeric op codes  used for 1900 Operating System Executive,Proprietary,ICL 1900,ICL 1900
GINerator mnemonic opcodes  used for GEORGE (operating system),Proprietary,ICL 1900,ICL 1900
PLAN mnemonic opcodes  used for commercial 1900 programs,Proprietary,ICL 1900,ICL 1900
Single Address Assembly Language (SAAL),Free,UNIVAC 1005,UNIVAC 1005
Sleuth,Free,UNIVAC 1107,EXEC  EXEC II  EXEC 8
Meta Assembler (MASM),Free,UNIVAC 1100/2200 series,UNIVAC EXEC 8
UTMOST,?,UNIVAC III,UNIVAC III
