Spanish,Portuguese,English
cola (< Lat. cauda),fila; bicha; cauda; rabo; linha (< Fr. file; < Lat. bestius; < Lat. cauda; < Lat. rapum; < Lat. linea),queue  file  tail
vaso (< Lat. vasum),copo (< Lat. cuppa),glass  cup
copo (< Lat. cuppa),floco (< Lat. floccus),flake
competencia (< Lat. competentia),concorrência  competição (< Lat. concurrentia; competitio),competition
despido (< Lat. expetere),demissão (< Lat. dimiss?o),dismissal  firing
oso (< Lat. ursus),urso (< Lat. ursus),bear
pez (< Lat. piscis),peixe (< Lat. piscis < Indo-European peisk),fish
polvo (< Lat. pulvis),pó (< Lat. pulv(er)is),dust
tienda (< Lat. tenda < tend?re),loja; negócio; butique; estabelecimento; depósito (< Fr. loge < Frankish laubja; < Lat. negotium; < Fr. boutique < Lat. apotheca; < Lat. stabilire; < Lat. depositum),shop  business  depot
ganancia (< Gothic ganan),ganho  lucro  interesse  rendimento  proveito  vencimento  acréscimo (< Frankish waidanjan; < Lat. lucrum; < Lat. interesse; < Lat. re- + dare; < Lat. profectus; < Lat. vincere; < Lat. accrescere + suffix -imo),profit  gain  interest
inversión (< Lat. inversionis),investimento (< Lat. investire),investment
embarazada (< Port. embaraçada),grávida (< Lat. grav? + -idus/-ida),pregnant
estafa (< Ital. staffa),calote  fraude  burla (< Fr. culotte; < Lat. fraudis; < probably Lat. burr?la),swindle  fraud  trickery
exquisito (< Lat. exquisitus),refinado; esmerado (< Lat. re + finis; < Lat. exmerare),exquisite
molestia (< Lat. moles),incómodo  inconveniência  maçada (< Lat. incommodus; < Lat. inconvenientis; < Lat. matea + Port. -ada),inconvenience  disturbance
servicios (< Lat. servitium),lavabo  lavatório  toilette  toalete  WC  sanitário (< Lat. lavabo; < Lat. lavatorium; < Fr. toilette; < Eng. water closet; < Lat. sanitas),toilet  WC  lavatory
perro (probably < onomatopoeic perr),cão (< Lat. canis)  cachorro (< Lat. catulus + Basque -orro),dog
berro (< Celt. beruros),agrião (< Gr. ágrios),watercress
aceite (< Ar. az-zayt),óleo (< Lat. oleum),oil
oficina (< Lat. offic?na < officium < opus + ficium),escritório  gabinete  atelier  agência  cartório  bureau/birô  departamento  workshop  oficina de reparação automóvel  garagem auto mecânica (< Lat. scriptor?um; < Fr. cabinet; < Fr. atelier; < Ital. agenzia; < Lat. carta + suffix -ório; < Fr. atelier; < Lat. departimentum; < Lat. + Gr departimentum; < Eng. workshop; < Fr. garage + Gr. ???? + Lat. mechanicus),office  workshop
firma (< Lat. firmus),assinatura (< Lat. signator),signature
presunto (< Lat. praesumptus),presumível  suspeito  provável (< Lat. praesumptus; < Lat. suspectum; < Lat. probabilis),presumed  suspect
risco (< Lat. resecare),falésia (< Fr. falaise),cliff
topo (< Lat. talpa),toupeira (< Lat. talpa + Port. -eira),mole  moleskin
Portuguese,Spanish,English
cola (< Lat. coloere),pegamento  cola (< Lat. pix  < Lat. coloere),glue
vaso (< Lat. vasum),maceta  tiesto (< Hisp.-Ar. maceta  maybe < Ital. mazzetto; < Lat. testu),vase  flowerpot
floco (< Lat. floccus),copo (< Lat. cuppa),flake
competência (< Lat. competentia),aptitud  capacidad (< Lat. aptit?do; capac?t?tis),competence  competency
despido (< Lat. expedire),desnudo (< Lat. ex + nudus),naked
osso (< Lat. ossum),hueso (< Lat. ossum),bone
pez (< Lat. pix),brea (< Fr. brayer),pitch  resin
polvo (< Gr. ????????),pulpo (< Gr. ????????),octopus
tenda (< Lat. tenda < tend?re),tienda  lona  toldo (< Lat. tenda < tend?re; < Fr. Olonne; < Fr. taud < Old Germ. tialz),tent  marquee
ganância (< Gothic ganan),codicia  avaricia  afán (< Lat. cupiditia; < Lat. avaritia; probably < Lat. afannae),greed  avarice  covetousness
inversão (< Lat. inversionis),inversión (< Lat. inversionis),inversion
embaraçada (< Lat. in + O.Port. baraça  of uncertain origin),avergonzada (< Lat. verecundia),embarrassed
estafa (< Ital. staffa),agotamiento  fatiga  extenuación (< Lat. gutta; < Lat. fatig?re; < Lat. extenu?re),exhaustion  tiredness  wear out
esquisito (< Lat. exquisitus),raro  extraño  peculiar (< Lat. rarus; < Lat. extr?neus; < Lat. peculi?ris),odd  strange  peculiar
moléstia (< Lat. molestiae),enfermedad  achaque  plaga  peste (< Lat. infirmitas; < Ar. šak?; < Lat. plaga; < Lat. pestis ),disease  plague
serviço (< Lat. servitium),servicio (< Lat. servitium),service
perro (origin uncertain  maybe < Sp. perro),oxidado (< Greek oxis + Lat. suffix -tatus),rusty
berro (< Lat. barrire),chillido  berrido (< Lat. cisclare; < Lat. barrire),screech  shriek
aceite (< Lat. accept?re),aceptado (< Lat. accept?re),accepted
oficina (< Lat. offic?na < officium),taller; taller de coches; taller mecánico de autos (< Old Fr. astelier; < Old Fr. estalier + Lat. cocca; < Old Fr. astelier + Lat. mechanicus + Gr. ????),auto repair centre  repair garage  workshop
firma (< Lat. firmus),empresa; compañía; sociedad  negocio (< Lat. prenhendere; companio; societas; nec otium),business  firm  company  corporation  enterprise  venture  establishment  group  house
presunto (< Lat. persuctus),jamón (< Fr. jambon),ham  prosciutto
risco (< Lat. reseca),riesgo (< Arabic rizq[5] or maybe Italian rischio}}),risk  line
topo (< Gr. tópos),cumbre (< Lat. columen or culmen),top
blade,hoja < Lat. folium,lâmina < Lat. lamm?na,[empty]
butcher(s)(shop),carniceria < Lat. carniceus,talho < Lat. taleare,Brazilian Port. uses açougue
shoe polish,betún < Lat. bit?men,graxa < Lat. crassus,[empty]
shaving,afeitar < Lat. affect?re,barbear < Lat. barba + ear,[empty]
pocket knife,navaja < Lat. novac?la,canivete < Old Fr. canivet < Frankish 'knif'[11],Portuguese 'navalha' means razor.
diving,buceo < Port. búzio < Lat. buc?na,mergulho < Lat. merguli?re,[empty]
bait,cebo < Lat. cibus,isca < Lat. escae,[empty]
skirt,falda < Germanic faldan,saia < Lat. sagum < Celtic sagos  sag,[empty]
glasses,gafas < Uncertain  maybe Arabic qafca[12],óculos < Lat. oculus,[empty]
stiffness (muscular),agujetas < Lat. acus + suffix eta,dor muscular < Lat. dolor + mus +culus,[empty]
operating theatre,quirófano < Gr. ???? + ?????,sala de operações  sala de cirurgia  bloco operatório < Ger + Lat. sal + operatio  < Ger + Gr. sal + ???????????  < Ger + Lat. bluk(k)an + operatio,[empty]
stem cell research,investigación con células madre < Lat. vestigium + cum + cellula + mater,pesquisa de células estaminais < Lat. perquirere + de + cellula + staminis,Brazilian Por. uses pesquisa de células tronco
stream  creek,arroyuelo < Pre-Roman arrugia,ribeira  ribeiro < Lat. riparius < ripae,[empty]
stubborn,terco or testarudo < Lat. testa + rudis,teimoso < Lat. thema  < Gr. théma,[empty]
plateau,meseta < Lat. mensa + Sp. suffix eta,planalto < Lat. planus + altus,[empty]
wave,ola < Uncertain origin,vaga < Gothic vega[13] or < Old Norse vágr [14] both from Ancient Germanic 'vigan' to shake,Both in Brazilian Por. and European Por. onda is used
broom,aulaga < Ar. algawláqa,vassoura  giesta  carqueja < Lat. verrere  < Lat. genista  < Maybe Lat. quercus,[empty]
pants  knickers,bragas < Lat. braca < Celtic bracae,cuecas < Lat. culus + suffix 'ecas',[empty]
(bed) sheet,sábana < Lat. sab?na,lençol < Lat. linteolum,[empty]
basketball,baloncesto < Frankish balla + Lat. cista,basquetebol < Eng. basketball,[empty]
reporter,periodista  periodicista < periódico+ suffix 'ista',repórter < Eng. reporter < Medieval Fr. reporteur,Spanish also has reportero
ricochet,rebote < Frankish + Lat. prefix boter,ricochete < Fr. ricochet,[empty]
riff-raff  mob,chusma < Genoese ciüsma < Gr. ????????,canalha < Occitan canalha,[empty]
cashew,anacardo < Lat. anacardium,caju < Tupi aka'yu,[empty]
mushroom,seta < Uncertain origin or hongo'",cogumelo < Lat. cucumellum < cucuma,[empty]
oleander,adelfa < Ar. ???? diflà,aloendro  loendro < Lat. lorandrum,[empty]
pumpkin,calabaza < Pre-Roman,abóbora < Lat. peporis,Port. cabaça means 'calabash
squid,calamar < Lat. calamarius,lula < Lat. lura,Port. also has calamar
date,fecha < Lat. facta,data < Lat. data,[empty]
elsewhere  somewhere  nowhere,en otro lugar < Lat. in alter localis  en alguna parte < Lat. in aliquis unos pars  en ningún lugar < Lat. in nec unus localis,alhures < Provençal alhors  algures < Lat. + Provençal aliquod + hors  nenhures < Lat. + Provençal nec + hors,[empty]
nobody,nadie < Lat. nati < natus,ninguém < Lat. nec + quem,[empty]
lawn,césped < Lat. caespes,relvado  grama < Lat. relevare  < Lat. gramen,[empty]
holiday  vacation,vacaciones < Lat. vacatio < vacationis,Férias < Lat. feriae,[empty]
card,tarjeta < Fr. targe + diminutive suffix eta,cartão  carta < Gr. ?????? < Lat. charta,[empty]
beef steak,filete < Lat. filum,bife < Eng. beef steak,Port. also has filé
retaliation,retorsión < Lat. retorsus,retaliação < Lat. retalio,[empty]
remorse,arrepentimiento < Lat. re + paenitere,remorso(s) < Lat. remorsus < remordere,Sp. also has remordimiento and Port. also has arrependimento
boot (car),maletero < Old Fr. + Sp. suffix malle + eta + ero,porta-bagagens < Lat. + Germanic portare + baugaz,Brazilian Port. tends to use porta-malas or bagageira
glove box (car),guantero < Frankish + Sp. suffix want + ero,porta-luvas < Lat. + Gothic/Suebian portare + lôfa,[empty]
thin,delgado < Lat. delic?tum,magro < Lat. macrum,Sp. magro means 'lean'  in reference to meat
surface  peel,superficie < Lat. superfic?es,tona < Celt. tond?/tunna,Port. also has superfície.
earring,pendiente < Lat. pendere,brinco < Lat. vinculum,[empty]
watermelon,sandía < Ar. sindiyyah,melancia < balancia < Lat. bilanx,[empty]
passion fruit,fruto de la pasión < Lat. fructa + passio,maracujá < Tupi moruku'ia,Sp. also has maracuyá
window,ventana < Lat. vent?nam,janela < Lat. i?nuellam,Lat. vent?nam 'wind opening' < ventus 'wind'. Lat. i?nuella is a diminutive of i?nua 'door  opening' (the same root as Eng. January and janitor) < the name ianus  the God of gates or doors.
counter,ventanilla < Lat. vent?nam + suffix 'illa',balcão < Germanic balk?n,Sp. balcón means 'balcony'
to disrupt  to get in the way (of someone/smthg),molestar  estorbar < Lat. molestus  exturb?re,atrapalhar < Low-Frankish trappa,[empty]
to erase,borrar < Late Lat. burr?re,apagar < Lat. app?c?re,Port. borrar means 'to smudge'; cf. Sp. borroso 'blurry'. Sp. apagar means 'to turn off' (a meaning that also exists in Port.  e.g. apagar a luz 'to turn off the light').
to forget,olvidar < Lat. obl?t?re,esquecer < Lat. excadescere,Olvidar also exists in Port. (but is far less common). A learned cognate  obliterar  exists in both languages.
to retort  to strike back,contraatacar < Lat. + Ita. contra + attaccare,ripostar < Fr. riposter,[empty]
to throw  to add,echar < Lat. iactare,atirar  pôr < Gothic/Suebian taíran  < Lat. ponere < pono,[empty]
to smell,oler < Lat. ol?re,cheirar < Lat. flagr?re,[empty]
to snore,roncar < Lat. ronchus < Gr. ??????,ressonar Prefix + < Lat. re + sonare,Por. uses roncar for very loud snoring in humans or animal sounds i.e. pigs
slug,babosa < Lat. baba + osa,lesma < Lat. limax,[empty]
simple,sencillo < Lat. singulus,simples < Lat. simplex,Sp. also has simple.
stage,escenario < Lat. scenarium,palco < Langobardic palk,[empty]
fear,temor < Lat. timore,receio < Lat. re + celare,Port. also has temor.
harvest  crop,cosecha < Lat. collecta,seara < Celtic seni + aro,Port. colheita and recolha (both < Lat. collecta) generally refer to the harvest of crops  wine or data collection (i.e. online surveys  personal data).
black,negro < Lat. niger,preto < Lat. pressus 'compressed  dense',Port. also has negro and Sp. also has prieto. Use and connotation vary greatly (i.e. the use of preto to refer to people of African descent is considered a slur in Port. but the prieto in Sp. can often mean "dark"  "tan"  or "swarthy" in a similar fashion to moreno in both Sp. and Port.).
near,cerca < Lat. circa,perto perh. < Lat. * prettus  alteration of pressus 'compressed',[empty]
far,lejos < Lat. laxius,longe < Lat. longe,[empty]
spark,chispa (onomatopoeic),faísca < Germanic falwiskan,[empty]
shard,esquirla < Lat. schidia  < Indo-European skei,lasca < *Proto-Germanic laska  or < *Lat. lesca,[empty]
toy,juguete < Lat. + Sp. suffix iocus + ete,brinquedo < Proto-Germanic blinkan?  bl?kan?,[empty]
swine,cochino (onomatopoeic),suíno < Latin su?nus < Proto-Germanic sw?n?,[empty]
dew,rocío < Lat. rosidus,orvalho < Gothic/Suebian 'ur' + 'vallen' < Proto-Germanic ?r? + fallan?,[empty]
pen,bolígrafo < Lat. bulla + Gr. ???????,caneta < Lat. cannae + Por. eta,[empty]
print (evidence),huella < Lat. follare,marca < Germanic marka,[empty]
windrow,hilera < Lat. f?lum + Sp. ?era,leira < Proto-Celtic ?l?ryo,[empty]
yesterday,ayer < Lat. ad heri,ontem < Lat. ad noctem,[empty]
to stay,quedarse < Lat. quiet?re,ficar < Vulg.Lat. * figic?re,[empty]
hairdresser,peluquero < peluque < French perruque "wig",cabeleireiro < cabeleira 'head of hair; wig' < cabelo < Lat. capillus,Port. peruca means 'wig'
chair,silla < Lat. sella,cadeira < Lat. * cathedra  perh. < Proto-Celtic * cathair,[empty]
cup  mug,taza < Arabic ?assa,chávena < Malay chãvan < Chinese < chã-kvãn  caneca < Germanic can,Brazilian Port. tends to use xícara < Sp. jícara < Nahuatl x?calli.
fork,tenedor < Lat. + Sp. suffix ten?re + dor,garfo < either via Lat. graphium or < Fr. greffe,[empty]
ladybird,mariquita < Lat. toponymic Maria + dimin.suffix 'quita',Joaninha < Lat. toponymic Iohanna + suffix 'inha',[empty]
robin,petirrojo < Lat. pectus + russus,pisco < Lat < Gaulish pincio,[empty]
peach,melocotón < Lat. malum cotonium,pêssego < Lat. [malum] persicum,[empty]
pillowcase,funda < Lat. fundus,fronha < Celt. srogna,[empty]
grasshopper,saltamontes < Lat. salto + mons,gafanhoto < Proto-Celtic gabal?,[empty]
weasel  skunk,mofeta < Ita. moffetta,doninha < Lat. domina + Port. suffix inha,[empty]
trousers,pantalón < Fr. pantalon < Ita. pantaleone,calças < Lat. calceu,[empty]
doorbell,timbre(de la puerta) < Fr. timbre,campainha < Lat. campana,Spanish also has campanilla.
thunder,trueno < Lat. tonare,trovão < Lat. turb?nis,[empty]
noise,ruido < Lat. rugitus,barulho < Gaulish bruge,Port. also has ruído  particularly for isolated/unexpected sounds or noises
handicapped,minusválido < Lat. minus + valere,Deficiente < Lat. deficiens,[empty]
development,desarrollo < Lat. + prefix des rotulus,desenvolvimento < Lat. + des involvo,[empty]
unavoidable,indefectible < Lat. + prefix in defectib?lis,incontornável < Lat. + prefix in con+tornare,[empty]
drug addict,drogadicto < Eng. drug addict,toxicodependente  drogado < Lat. toxicum + dependens  < Fr. drogue,Both Port. and Sp. have 'toxicomania' for drug addiction
budget,presupuesto < Lat. pre+sub+positus,orçamento < Uncertain  Ita. 'orza' or likely Frankish *lurz + Lat. orça[15] + mentum,[empty]
Meaning,Spanish,Portuguese,Notes
newspaper  journal,periódico < Lat. period?cus < gr. ?????????? [16],jornal < Fra. journal,[empty]
journalist,periodista < Lat. period?cus < gr. ?????????? [17],jornalista < Fra. journaliste,[empty]
journey,recorrido < Lat. recurr?re [18],jornada < Provençal. jornada < jorn[19],[empty]
shop window,escaparate < Ned. schaprade[20],montra < Fra. montre,The French-derived term vitrina (in both Spa/Por) or vitrine (in Por) is also used.
boutique  clothes store,tienda< Lat. tenda[21],boutique  butique < Fra. boutique[22],[empty]
scarf,bufanda < Uncertain  maybe O.Fra. bouffant[23],cachecol  écharpe cache-col  écharpe[24],[empty]
lampshade  bedside lamp,lámpara < Lat. < Gre. lamp?da < ??????[25],abajur < Fra. abat-jour[26],[empty]
New Year's Eve,Nochevieja < Lat. noctis + veclus < vet?lus[27],Reveillon < Fra. Reveillon,[empty]
frisson,escalofrío < Lat. + prefix ex + cale+ frige[28],frisson < Fra. frisson[29],[empty]
gaffe  blunder,metedura de pata < Lat. + Ar. < mitt?re + batt[30],gafe < Fra. gaffe [31],[empty]
brioche,bollo de leche < Lat. < bulla + lactis[32]  [33],brioche < Fra. brioche [34],[empty]
croissant,medialuna < Lat. < media + luna[35],croissant  croassã < Fra. croissant [36],[empty]
courgette  zucchini,calabacín < Pre-roman calabaza[37],courgette  curgete < Fra. courgette [38],[empty]
blueberry,arándano < Celt + Lat. aran + rodamd?rum[39],mirtilo < Fra. myrtille [40],In Por. arando < Celt aran means cranberry
billy club  truncheon,porra < Lat. porrum[41],cassetete  casse-tête < Fra. casse-tête [42],[empty]
creche,guardería infantil <Ger. + Lat. warda + infant?lis [43],creche < Fra. crèche[44],[empty]
voyeur,mirón < Lat. mir?ri [45],voyeur < Fra. voyeur,[empty]
omelette,tortilla < uncertain + suffix torta + illa,omelete < Fra. omelette[46],[empty]
swing,columpio < Leon. < Gr. columbiar < ???????? kolymbân [47],balancé < Fra. balancé[48],[empty]
lipstick,pintalabios < Lat. pinct?re + labium [49],batom < Fra. bâton[50],[empty]
cap,gorra < uncertain gorra [51],boné < Fra. bonnet[52],[empty]
(train) station,estación (ferrocarril) < Lat. stati?nis[53],gare < Fra. gare [54],The term gare in Port. is also used for bus-station.
quay  jetty  key,muelle < Lat. mollis[55],cais < Fra. quai [56],The term cais in Port. is also used for railway platforms.
vehicle,vehículo < Lat. vehiculum[57],viatura < Fr. voiture [58],[empty]
package  packaging,envase < Lat. in + vasum[59],embalagem < Fr. emballage [60],[empty]
