File system,Creator,Year of introduction,Original operating system
ISO 9660:1999,Ecma International  ISO,1999,Microsoft Windows  Linux  "classic" Mac OS  FreeBSD  and AmigaOS
JFS,IBM,1999,OS/2 Warp Server for e-business
GFS,Sistina (Red Hat),2000,Linux
ReiserFS,Namesys,2001,Linux
zFS,IBM,2001,z/OS (backported to OS/390)
FATX,Microsoft,2002,Xbox
UFS2,Kirk McKusick,2002,FreeBSD 5.0
OCFS,Oracle Corporation,2002,Linux
SquashFS,Phillip Lougher  Robert Lougher,2002,Linux
VMFS2,VMware,2002,VMware ESX Server 2.0
Lustre,Cluster File Systems[5],2002,Linux
Fossil,Bell Labs,2003,Plan 9 version 4
Google File System,Google,2003,Linux
ZFS,Sun Microsystems,2004,Solaris
Reiser4,Namesys,2004,Linux
Non-Volatile File System,Palm  Inc.,2004,Palm OS Garnet
BeeGFS,Fraunhofer/ ThinkParQ,2005,Linux  Windows via Samba
GlusterFS,Gluster Inc.,2005,Linux
Minix V3 FS,Andrew S. Tanenbaum,2005,MINIX 3
OCFS2,Oracle Corporation,2005,Linux
NILFS,NTT,2005,Linux
VMFS3,VMware,2005,VMware ESX Server 3.0
GFS2,Red Hat,2006,Linux
ext4,various,2006,Linux
exFAT,Microsoft,2006,Windows CE 6.0
Btrfs,Oracle Corporation,2007,Linux
JXFS,Hyperion Entertainment,2008,AmigaOS 4.1
HAMMER,Matthew Dillon,2008,DragonFly BSD 2.0
LSFS,StarWind Software,2009,Linux  FreeBSD  Windows
UniFS,Nasuni,2009,Cloud
CASL,Nimble Storage,2010,Linux
OrangeFS,Omnibond and others,2011,Linux
VMFS5,VMware,2011,vSphere 5.0+
CHFS,University of Szeged,2011,NetBSD 6.0+
ReFS,Microsoft,2012,Windows Server 2012
F2FS,Samsung Electronics,2012,Linux
bcachefs,Kent Overstreet,2015,Linux
APFS,Apple,2016,macOS High Sierra  iOS 10.3
NOVA,UC  San Diego,2017,Linux
HAMMER2,Matthew Dillon[6],2017,DragonFly BSD 5.0
EROFS,Huawei[7],2018,Android
File system,Stores file owner,POSIX file permissions,Creation timestamps,Last access/ read timestamps,Last metadata change timestamps,Last archive timestamps,Access control lists,Security/ MAC labels,Extended attributes/ Alternate data streams/ forks,Checksum/ ECC
BeeGFS,Yes,Yes,No,Yes,Yes,No,Yes,?,Yes,Yes
CP/M file system,No,No,Yes[ag],No,No,No,No,No,No,No
DECtape[29],No,No,Yes,No,No,No,No,No,No,No
Elektronika BK tape format,No,No,No,No,No,No,No,No,No,Yes
Level-D,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No
RT-11[30],No,No,Yes (date only),No,No,No,No,No,No,Yes
Version 6 Unix file system (V6FS)[31],Yes,Yes,No,Yes,No,No,No,No,No,No
Version 7 Unix file system (V7FS)[32],Yes,Yes,No,Yes,No,No,No,No,No,No
exFAT,No,No,Yes,Yes,No,No,No,No,No,No
FAT12/FAT16/FAT32,No,No,Yes,Yes,No[ah],No,No,No,No[ai],No
HPFS,Yes[aj],No,Yes,Yes,No,No,No,?,Yes,No
NTFS,Yes,Yes[ak],Yes,Yes,Yes,No,Yes,Yes[al],Yes,No
ReFS,Yes,Yes,Yes,Yes,Yes,No,Yes,?,Yes[am],Yes[an]
HFS,No,No,Yes,No,No,Yes,No,No,Yes,No
HFS Plus,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,No
FFS,Yes,Yes,No,Yes,Yes,No,No,No,No,No
UFS1,Yes,Yes,No,Yes,Yes,No,Yes[ao],Yes[ao],No[ap],No
UFS2,Yes,Yes,Yes,Yes,Yes,No,Yes[ao],Yes[ao],Yes,No
HAMMER,Yes,Yes,Yes,Yes,Yes,?,Yes,Yes,No,Yes
LFS,Yes,Yes,No,Yes,Yes,No,No,No,No,No
ext,Yes,Yes,No,No,No,No,No,No,No,No
Xiafs,Yes,Yes,No,Yes,Yes,No,No,No,No,No
ext2,Yes,Yes,No,Yes,Yes,No,Yes[aq],Yes[aq],Yes,No
ext3,Yes,Yes,No,Yes,Yes,No,Yes[aq],Yes[aq],Yes,No
ext4,Yes,Yes,Yes,Yes,Yes,No,Yes[aq],Yes[aq],Yes,Partial[ar]
NOVA,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes
Lustre,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No
F2FS,Yes,Yes,Yes,Yes,Yes,No,Yes[aq],Yes[aq],Yes,No
GPFS,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
GFS,Yes,Yes,No,Yes,Yes,No,Yes[aq],Yes[aq],Yes,No
NILFS,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes
ReiserFS,Yes,Yes,No,Yes,Yes,No,Yes[aq],Yes[aq],Yes,No
Reiser4,Yes,Yes,No,Yes,Yes,No,No,No,No,No
OCFS,No,Yes,No,No,Yes,Yes,No,No,No,No
OCFS2,Yes,Yes,No,Yes,Yes,No,No,No,No,No
XFS,Yes,Yes,Partial[as],Yes,Yes,No,Yes,Yes[aq],Yes,Partial[at]
JFS,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No
QFS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No
BFS,Yes,Yes,Yes,No,No,No,No,No,Yes,No
AdvFS,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No
NSS,Yes,Yes,Yes[au],Yes[au],Yes,Yes[au],Yes,?,Yes[av][aw],No
NWFS,Yes,?,Yes[au],Yes[au],Yes,Yes[au],Yes,?,Yes[av][aw],No
ODS-5,Yes,Yes,Yes,?,?,Yes,Yes,?,Yes[ax],No
APFS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,Partial
VxFS,Yes,Yes,Yes,Yes,Yes,No,Yes,?,Yes[aq],No
UDF,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No
Fossil,Yes,Yes[ay],No,Yes,Yes,No,No,No,No,No
ZFS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes[az],Yes[ba],Yes
Btrfs,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes[bb]
Minix V1,Yes,Yes,No,No,No,No,No,No,No,No
Minix V2,Yes,Yes,No,Yes,Yes,No,No,No,No,No
Minix V3,Yes,Yes,No,Yes,Yes,No,No,No,No,No
VMFS2,Yes,Yes,No,Yes,Yes,No,No,No,No,No
VMFS3,Yes,Yes,No,Yes,Yes,No,No,No,No,No
ISO 9660:1988,No,No,Yes,No,No,No,No,No,No,No
Rock Ridge,Yes,Yes,No,Yes[bc],Yes,No,No[bd],No[be],No[be],No
Joliet ("CDFS"),No,No,Yes,No,No,No,No,No,No,No
ISO 9660:1999,No,No,Yes,No,No,No,No,No,No,No
High Sierra,No,No,Yes,No,No,No,No,No,No,No
SquashFS,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No
File system,Stores file owner,POSIX file permissions,Creation timestamps,Last access/read timestamps,Last metadata change timestamps,Last archive timestamps,Access control lists,Security/ MAC labels,Extended attributes/ Alternate data streams/ forks,Checksum/ ECC
File system,Hard links,Symbolic links,Block journaling,Metadata-only journaling,Case-sensitive,Case-preserving,File Change Log,Internal snapshotting / branching,XIP,Filesystem-level encryption,Data deduplication,Data checksums
DECtape,No,No,No,No,No,No,No,No,No,No,No,No
BeeGFS,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No
Level-D,No,No,No,No,No,No,No,No,No,No,No,No
RT-11,No,No,No,No,No,No,No,No,No,No,No,No
APFS,Yes,Yes,?,?,Partial,Yes,?,Yes,?,Yes,Partial,No
Version 6 Unix file system (V6FS),Yes,No,No,No,Yes,Yes,No,No,No,No,No,No
Version 7 Unix file system (V7FS),Yes,No[bf],No,No,Yes,Yes,No,No,No,No,No,No
exFAT,No,No,No,Partial (with TexFAT only),No,Yes,No,No,No,No,No,No
FAT12,No,No,No,Partial (with TFAT12 only),No,Partial (with VFAT LFNs only),No,No,No,Partial (DR-DOS with SECURITY only),No,No
FAT16 / FAT16B / FAT16X,No,No,No,Partial (with TFAT16 only),No,Partial (with VFAT LFNs only),No,No,No,Partial (DR-DOS with SECURITY only),No,No
FAT32 / FAT32X,No,No,No?,Partial (with TFAT32 only),No,Partial (with VFAT LFNs only),No,No,No,No,No,No
GFS,Yes,Yes[bg],Yes,Yes[bh],Yes,Yes,No,No,No,No,?,No
HPFS,No,No,No,No,No,Yes,No,?,No,No,?,No
NTFS,Yes,Yes[bi],No[bj],Yes[bj] (2000),Yes[bk],Yes,Yes,Partial[bl],?,Yes,Yes[bm][36],No
HFS Plus,Yes[37],Yes,No,Yes[bn],Partial[bo],Yes,Yes[bp],No,No,No[bq],No,No
FFS,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No
UFS1,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No
UFS2,Yes,Yes,No,Yes[br] [42] [bs],Yes,Yes,No,Yes,?,No,No,No
HAMMER,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,No,No,Yes,Yes
LFS,Yes,Yes,Yes[bt],No,Yes,Yes,No,Yes,No,No,No,No
ext,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No
Xiafs,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No
ext2,Yes,Yes,No,No,Yes,Yes,No,No,Yes[bu],No,No,No
ext3,Yes,Yes,Yes (2001) [bv],Yes (2001),Yes,Yes,No,No,Yes,No,No,No
ext4,Yes,Yes,Yes[bv],Yes,Yes  optional [45],Yes,No,No,Yes,Yes  experimental [46],No,No
NOVA,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes
F2FS,Yes,Yes,Yes[bt],No,Yes,Yes,No,No,No,Yes  experimental [47],No,No
Lustre,Yes,Yes,Yes[bv],Yes,Yes,Yes,Yes,No,No,No,No,No
NILFS,Yes,Yes,Yes[bt],No,Yes,Yes,No,Yes,No,No,No,Yes
ReiserFS,Yes,Yes,Yes[bw],Yes,Yes,Yes,No,No,?,No,No,No
Reiser4,Yes,Yes,Yes,No,Yes,Yes,No,?,?,Yes[bx],?,No
OCFS,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No
OCFS2,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
XFS,Yes,Yes,Yes,Yes,Yes[by],Yes,Yes,No,?,No,Yes  experimental [48],No
JFS,Yes,Yes,Yes,Yes (1990),Yes[bz],Yes,No,?,?,No,?,No
QFS,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No
BFS,Yes,Yes,No,Yes,Yes,Yes,?,No,No,No,No,No
NSS,Yes,Yes,?,Yes,Yes[ca],Yes[ca],Yes[cb],Yes,No,Yes,?,No
NWFS,Yes[cc],Yes[cc],No,No,Yes[ca],Yes[ca],Yes[cb],?,No,No,?,No
ODS-2,Yes,Yes[cd],No,Yes,No,No,Yes,Yes,No,No,No,No
ODS-5,Yes,Yes[cd],No,Yes,No,Yes,Yes,Yes,?,No,No,No
UDF,Yes,Yes,Yes[bt],Yes[bt],Yes,Yes,No,No,Yes,No,No,No
VxFS,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes[ce],?,No,Yes,No
Fossil,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No
ZFS,Yes,Yes,Yes[cf],No[cf],Yes,Yes,No,Yes,No,Yes[cg],Yes,Yes
Btrfs,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,?,No  planned  not being developed (Nov  2015)[53],Yes,Yes
Minix V1,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No
Minix V2,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No
Minix V3,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No
VMFS2,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No
VMFS3,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No
ReFS,No,Yes,?,?,Yes[bk],Yes,?,?,?,No,Yes,Yes
ISO 9660,No,No,No,No,No,No,No,No,No,No,No[ch],No
Rock Ridge,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No[ch],No
Joliet ("CDFS"),No,No,No,No,No,Yes,No,No,No,No,No[ch],No
SquashFS,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes
File system,Hard links,Symbolic links,Block journaling,Metadata-only journaling,Case-sensitive,Case-preserving,File Change Log,Internal snapshotting / branching,XIP,Filesystem-level encryption,Data deduplication,Data checksums
File system,Host OS,Offline grow,Online grow,Offline shrink,Online shrink
FAT16 / FAT16B / FAT16X,misc.,Yes[54],No,Yes[54],No
FAT32 / FAT32X,misc.,Yes[54],No,Yes[54],No
exFAT,misc.,No,No,No,No
NTFS,Windows,Yes,Yes,Yes,Yes
ReFS,Windows,?,Yes,?,No
HFS+,macOS,No,Yes,No,Yes
APFS,macOS,?,?,?,?
HFS+,Linux,No,No,No,No
SquashFS,Linux,No,No,No,No
NOVA,Linux,No,No,No,No
JFS[55],Linux,Yes,No,No,No
XFS[56],Linux,No,Yes,No,No
Lustre[57],Linux,?,Yes,No,No
F2FS[58],Linux,Yes,No,No,No
NTFS[59],Linux,Yes,No,Yes,No
ext2[60],Linux,Yes,No,Yes,No
ext3[60],Linux,Yes,Yes,Yes,No
ReiserFS[61],Linux,Yes,Yes,Yes,No
Reiser4[62],Linux,Yes,Yes,Yes,No
ext4[60],Linux,Yes,Yes,Yes,No
Btrfs[63],Linux,Yes,Yes,Yes,Yes
NILFS[64],Linux,No,Yes,No,Yes
ZFS,misc.,No,Yes,No,Partial[65]
JFS2,AIX,?,Yes,?,Yes
UFS2[66],FreeBSD,Yes,Yes (FreeBSD 10.0-RELEASE or later),No,No
HAMMER,DragonflyBSD,?,?,?,?
File system,Sparse files,Transparent compression,Block suballocation,Tail packing,Extents,Variable file block size[ci],Allocate-on-flush,Copy on write,Trim support
DECtape,No,No,No,No,No,No,No,No,No
BeeGFS,Yes,Yes,No,No,Yes,Yes,Yes,Yes,?
Level-D,No,No,No,No,Yes,No,No,No,?
APFS,Yes,No,?,?,Yes,?,Yes,Yes,Yes[67][68]
Version 6 Unix file system (V6FS),Yes,No,No,No,No,No,No,?,No
Version 7 Unix file system (V7FS),Yes,No,No,No,No,No,No,?,No
exFAT,No,No,No,No,No,No,No,No,Yes
FAT12,Partial (only inside of compressed volumes)[69],Partial[cj],Partial (only inside of Stacker 3/4 and DriveSpace 3 compressed volumes[70]),No,Partial (only inside of compressed volumes)[71],No,No,No,Yes (Linux)
FAT16 / FAT16B / FAT16X,Partial (only inside of compressed volumes)[69],Partial[cj],Partial (only inside of Stacker 3/4 and DriveSpace 3 compressed volumes[70]),No,Partial (only inside of compressed volumes)[71],No,No,No,Yes (Linux)
FAT32 / FAT32X,No,No,No,No,No,No,No,No,Yes (Linux)
GFS,Yes,No,No,Partial[ck],No,No,No,?,Yes
HPFS,No,No,No,No,Yes,No,No,?,No
NTFS,Yes,Yes,Partial,No,Yes,No,No,?,Yes (NT 6.1 + newer)
HFS Plus,No,No,No,No,Yes,No,No,?,Yes (macOS)
FFS,Yes,No,8:1[cl],No,No,No,No,?,No
UFS1,Yes,No,8:1[cl],No,No,No,No,?,No
UFS2,Yes,No,8:1[cl],No,No,Yes,No,?,Yes[72][73]
LFS,Yes,No,8:1[cl],No,No,No,No,Yes,?
ext,Yes,No,No,No,No,No,No,No,No
Xiafs,Yes,No,No,No,No,No,No,?,?
ext2,Yes,No[cm],No[cn],No,No,No,No,No,Yes
ext3,Yes,No,No[cn],No,No,No,No,No,Yes
ext4,Yes,No,No[cn],No,Yes,No,Yes,No,Yes
NOVA,Yes,No,No,No,Yes,No,No,Yes,?
F2FS,Yes,No,No,No,Partial[co],No,Yes,Yes,Yes[74]
Lustre,Yes,No,No,No,Yes,No,Yes,?,?
NILFS,Yes,No,No,No,No,No,Yes,Yes,?
ReiserFS,Yes,No,Yes[cp],Yes,No,No,No,?,?
Reiser4,Yes,Yes[bx],Yes[cp],Yes,Yes[cq],No,Yes,?,?
OCFS,?,No,No,No,Yes,No,No,?,?
OCFS2,Yes,No,No,No,Yes,No,No,?,?
XFS,Yes,No,No,No,Yes,No,Yes,Yes  on request[75],Yes (Linux)
JFS,Yes,only in JFS1 on AIX[76],Yes,No,Yes,No,No,?,Yes (Linux)
QFS,?,No,Yes,No,No,No,No,?,?
BFS,?,No,No,No,Yes,No,No,?,Yes (Haiku)
NSS,?,Yes,No,No,Yes,No,No,?,?
NWFS,?,Yes,Yes[cr],No,No,No,No,?,?
ODS-5,?,No,No,No,Yes,No,No,?,?
VxFS,Yes,No,?,No,Yes,No,No,?,?
UDF,No,No,No,No,Yes,No,?[cs],?,No
Fossil,?,Yes,No,No,No,No,No,?,?
ZFS,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes (FreeBSD  illumos)
Btrfs,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
VMFS2,Yes,No,Yes,No,No,No,No,?,?
VMFS3,Yes,No,Yes,No,No,No,No,?,?
ReFS,Yes,No,?,?,?,No,?,Yes,?
ISO 9660,No,No[ct],No,No,Yes[cu],No,No,No,No
Rock Ridge,No,No[ct],No,No,Yes[cu],No,No,No,No
Joliet ("CDFS"),No,No[ct],No,No,Yes[cu],No,No,No,No
SquashFS,Yes,Yes,No,No,No,No,No,No,No
File system,Sparse files,Transparent compression,Block suballocation,Tail packing,Extents,Variable file block size[ci],Allocate-on-flush,Copy on write,Trim support
File system,DOS,Windows 9x,Windows NT,Linux,"classic" Mac OS,macOS,FreeBSD,OS/2,BeOS,Minix,Solaris,z/OS
APFS,No,No,No,Partial (read-only with apfs-fuse[77] or linux-apfs[78]),No,Yes (Since macOS Sierra),No,No,No,No,No,No
BeeGFS,No,No,No,Yes,No,?,No,No,?,?,?,No
DECtape,No,No,No,No,No,No,No,No,No,No,No,No
Level-D,No,No,No,?,No,?,No,No,No,No,?,?
RT-11,No,No,No,No,No,No,No,No,No,No,No,No
Version 6 Unix file system (V6FS),No,No,No,?,No,No,No,No,No,No,No,No
Version 7 Unix file system (V7FS),No,No,No,Yes,No,?,No,No,?,?,?,?
exFAT,No,No,Yes (installable drivers for Windows XP  2003. Included with Windows Vista SP1 and newer.),Yes (available as a kernel module or FUSE driver),No,Yes,Yes (available as a FUSE driver),No,No,No,Yes (available as a FUSE driver),No
FAT12,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Partial (via dosdir  dosread  doswrite),Yes,?
FAT16 / FAT16B / FAT16X,Yes (FAT16 from DOS 3.0  FAT16B from DOS 3.31  FAT16X from DOS 7.0),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Partial (via dosdir  dosread  doswrite  not FAT16X),Yes,?
FAT32 / FAT32X,Yes (from DOS 7.10),Yes (from Windows 95 OSR2),Yes (from Windows 2000),Yes,Yes?,Yes,Yes,Yes,Yes,No,Yes,?
GFS,No,No,No,Yes,No,?,No,?,?,?,?,?
HPFS,Partial (with third-party drivers),No,Partial (with NT 3.1 to 4.0 only),Yes,?,?,Yes,Yes (from OS/2 1.2),?,No,?,?
NTFS,Partial (with third-party drivers),Yes (with 3rd-party drivers like Paragon NTFS for Win98  DiskInternals NTFS Reader),Yes,Yes with ntfs-3g,No,Yes natively read only  write support with Paragon NTFS or ntfs-3g,Yes with ntfs-3g,?,Yes with ntfs-3g,No,Yes with ntfs-3g,?
Apple HFS,No,No,Yes with Paragon HFS+ [79],Yes,Yes,Yes,No,?,Yes,No,?,No
Apple HFS Plus,No,No,Yes with Paragon HFS+ [79],Partial - writing support only to unjournalled FS,Yes from Mac OS 8.1,Yes,No,?,with addon,No,?,No
FFS,No,No,?,?,?,Yes,Yes,?,?,?,?,?
UFS1,No,No,Partial (with ufs2tools  read only),Partial - read only,?,Yes,Yes,No,?,?,Yes,?
UFS2,No,No,Partial (with ufs2tools  read only),Yes,?,Yes,Yes,No,?,?,?,?
LFS,No,No,No,?,?,?,No,No,?,?,?,?
ext,No,No,No,Yes - until 2.1.20,No,No,No,No,No,No,No,No
Xiafs,No,No,No,Yes - until 2.1.20 Experimental port available to 2.6.32 and later [80][81],No,No,No,No,No,No,No,No
ext2,No,No,Yes with Paragon ExtFS [82] or partial with Ext2 IFS[83] or ext2fsd[84],Yes,No,Yes with Paragon ExtFS [85] or ext2fsx,Yes,No,Yes,?,?,?
ext3,No,No,Yes with Paragon ExtFS [82] or partial with Ext2 IFS[83] or ext2fsd[84],Yes,Partial (read only)[citation needed],Yes with Paragon ExtFS [85] or partial with ext2fsx (journal not updated on writing),Partial (read-only)[86][87],No,with addon,?,Yes,?
ext4,No,No,Yes with Paragon ExtFS [82] or partial with Ext2 IFS[83] or ext2fsd[84],Yes,?,Yes with Paragon ExtFS [85],Partial support in kernel since version 10.1 (read-only)[86][87],No,with addon,?,?,?
NOVA,No,No,No,Yes,No,No,No,No,No,No,No,No
Lustre,No,No,No,Yes[88],?,?,No,?,?,?,Yes,?
NILFS,No,No,?,Yes as an external kernel module,?,?,No,?,?,?,?,?
F2FS,No,No,No,Yes,No,No,No,No,No,No,No,No
ReiserFS,No,No,No,Yes,?,?,Partial - Read Only from 6.0 to 10.x[89] and dropped in 11.0[90][91],?,with addon,?,?,?
Reiser4,No,No,No,Yes with a kernel patch,?,?,No,?,?,?,?,?
SpadFS,No,No,No,Yes,No,No,?,No,No,No,No,No
OCFS,No,No,No,Yes,?,?,No,No,?,?,?,?
OCFS2,No,No,No,Yes,?,?,No,No,?,?,?,?
XFS,No,No,No,Yes,?,?,Partial,?,with addon (read only),?,?,?
JFS,No,No,No,Yes,?,?,No,Yes,?,?,?,?
QFS,No,No,No,Partial - client only[92],?,?,No,No,?,?,Yes,?
Be File System,No,No,No,Partial - read-only,?,?,No,No,Yes,?,?,?
NSS,No,No,No,Yes via EVMS[cv],?,?,No,No,?,?,?,?
NWFS,Partial (with Novell drivers),No,No,?,?,?,Yes,No,?,?,?,?
ODS-2,No,No,No,?,?,?,No,No,?,?,?,?
ODS-5,No,No,No,?,?,?,No,No,?,?,?,?
UDF,No,?,Yes,Yes,?,Yes,Yes,?,?,?,Yes,?
VxFS,No,No,No,Yes,?,?,No,No,?,?,Yes,?
Fossil,No,No,No,Yes[cw],No,Yes[cw],Yes[cw],No,No,No,Yes[cw],?
ZFS,No,No,Yes[93],Yes with FUSE[94] or as an external kernel module[95],No,Yes with Read/Write Developer Preview[96],Yes,No,No,No,Yes,No
Btrfs,No,No,Partial with WinBtrfs[97],Yes,?,?,?,?,?,?,?,?
VMFS2,No,No,No,?,?,?,No,No,?,?,?,?
VMFS3,No,No,No,?,?,?,No,No,?,?,?,?
IBM HFS,No,No,No,No,No,No,No,No,No,No,No,Yes
IBM zFS,No,No,No,No,No,No,No,No,No,No,No,Yes
ReFS,No,No,Yes (from Windows Server 2012 and from Windows 8.1),Partial - with Paragon ReFS for Linux,?,?,?,?,?,?,?,?
ISO 9660,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Rock Ridge,No,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,?
Joliet ("CDFS"),No,Yes,Yes,Yes,?,Yes,Yes,Yes,Yes,?,Yes,?
SquashFS,No,No,Partial (There are ports of unsquashfs and mksquashfs.),Yes,No,Partial (There are ports of unsquashfs and mksquashfs.),Partial (There are ports of unsquashfs and mksquashfs and fusefs-port.[98][99]),No,No,No,No,No
File system,DOS,Windows 9x,Windows NT,Linux,"classic" Mac OS,macOS,FreeBSD,OS/2,BeOS,Minix,Solaris,z/OS
