Arrays cannot be resized (though use of the <kbd>System.arraycopy()</kbd> method can allow for multi-step array resizing),Arrays can be resized while preserving existing values using the <kbd>Array.Resize()</kbd> static array method (but this may return a new array).
Implemented as a retrofit for the <kbd>java.util</kbd> library having extra features  like data structures like sets and linked sets  and has several algorithms to manipulate elements of a collection  like finding the largest element based on some <kbd>Comparator<T></kbd> object  finding the smallest element  finding sublists within a list  reverse the contents of a list  shuffle the contents of a list  create immutable versions of a collection  performs sorts  and make binary searches.<ref></ref>,The C# collections framework consists of classes from the <kbd>System.Collections</kbd> and the <kbd>System.Collections.Generic</kbd> namespaces with several useful interfaces  abstract classes  and data structures.<ref></ref> NET 3.5 added <kbd>System.Linq</kbd> namespace that contains various extension methods for querying collections  such as <kbd>Aggregate</kbd>  <kbd>All</kbd>  <kbd>Average</kbd>  <kbd>Distinct</kbd>  <kbd>Join</kbd>  <kbd>Union</kbd> and many others. Queries using these methods are called Language Integrated Query (LINQ).
Java,C#
<source lang=Java> // Is valid  as numbers is an object of type short[] short[] numbers = new short[100];  // Is valid  but it isn't clear code double values[] = new double[100];</source> || <source lang=CSharp> // Is valid  as numbers is an object of type short[] short[] numbers = new short[100];  // Won't compile! double values[] = new double[100]; </source>,[added]
Expressions and operators,Java,C#
Arithmetic operators,[empty],[added]
Logical operators,[empty],[added]
Bitwise logic operators,[empty],[added]
Conditional,[empty],[added]
String concatenation,[empty],[added]
Casts,[empty],[added]
Boxing,; implicit,; implicit
Unboxing,; implicit,; explicit
Lifted operators,, but see java.util.Optional,[added]
Overflow control,[empty],[added]
Strict floating point evaluation,; opt-in/out,; opt-in<ref></ref>
Verbatim (here-)strings,[empty],<ref></ref>
Statements,Java,C#
Loops,[empty],[added]
Conditionals,[empty],[added]
Flow control,[empty],[added]
Assignment,[empty],[added]
Exception control,[empty],[added]
Variable declaration,[empty],[added]
Variable type inference,<ref></ref>,[added]
Deterministic disposal (ARM-blocks),[empty],[added]
