File system,Creator,Year of introduction,Original operating system
Be File System,Be Inc (D Giampaolo  Cyril Meurillon),1996,BeOS
Minix V2 FS,Andrew S Tanenbaum,1997,MINIX 20
HFS Plus,Apple,1998,Mac OS 81
NSS,Novell,1998,NetWare 5
PolyServe File System (PSFS),PolyServe,1998,Windows  Linux
ODS5,DEC,1998,OpenVMS 72
WAFL,NetApp,1998,Data ONTAP
ext3,Stephen Tweedie,1999,Linux
ISO 96601999,Ecma International  ISO,1999,Microsoft Windows  Linux  "classic" Mac OS  FreeBSD  and AmigaOS
JFS,IBM,1999,OS/2 Warp Server for ebusiness
GFS,Sistina (Red Hat),2000,Linux
ReiserFS,Namesys,2001,Linux
zFS,IBM,2001,z/OS (backported to OS/390)
FATX,Microsoft,2002,Xbox
UFS2,Kirk McKusick,2002,FreeBSD 50
OCFS,Oracle Corporation,2002,Linux
SquashFS,Phillip Lougher  Robert Lougher,2002,Linux
VMFS2,VMware,2002,VMware ESX Server 20
Lustre,Cluster File Systems[5],2002,Linux
Fossil,Bell Labs,2003,Plan 9 version 4
Google File System,Google,2003,Linux
ZFS,Sun Microsystems,2004,Solaris
Reiser4,Namesys,2004,Linux
NonVolatile File System,Palm  Inc,2004,Palm OS Garnet
BeeGFS,Fraunhofer/ ThinkParQ,2005,Linux  Windows via Samba
GlusterFS,Gluster Inc,2005,Linux
Minix V3 FS,Andrew S Tanenbaum,2005,MINIX 3
OCFS2,Oracle Corporation,2005,Linux
NILFS,NTT,2005,Linux
VMFS3,VMware,2005,VMware ESX Server 30
GFS2,Red Hat,2006,Linux
ext4,various,2006,Linux
exFAT,Microsoft,2006,Windows CE 60
Btrfs,Oracle Corporation,2007,Linux
JXFS,Hyperion Entertainment,2008,AmigaOS 41
HAMMER,Matthew Dillon,2008,DragonFly BSD 20
LSFS,StarWind Software,2009,Linux  FreeBSD  Windows
UniFS,Nasuni,2009,Cloud
CASL,Nimble Storage,2010,Linux
OrangeFS,Omnibond and others,2011,Linux
VMFS5,VMware,2011,vSphere 50
CHFS,University of Szeged,2011,NetBSD 60
ReFS,Microsoft,2012,Windows Server 2012
F2FS,Samsung Electronics,2012,Linux
bcachefs,Kent Overstreet,2015,Linux
APFS,Apple,2016,macOS High Sierra  iOS 103
NOVA,UC  San Diego,2017,Linux
HAMMER2,Matthew Dillon[6],2017,DragonFly BSD 50
EROFS,Huawei[7],2018,Android
