Blacklist operator,DNS blacklist,Zone,Listing goal,Nomination,Listing lifetime,Notes,Collateral listings,Notifies upon listing
strikethrough|Distributed Realtime Blocking List,strikethrough|drand DRBL node,strikethrough|spamtrapdrbldrandnet,strikethrough|IP addresses used to send spam to traps or members,strikethrough|Automated [de]listing,strikethrough|Varies from spam type  rate and other sophisticated factors 30 s to 1 week,strikethrough|High IP network aggregate threshold greater than or equal 254 Offline since 2010 [9],yes|strikethrough|Yes,no|strikethrough|No
Junk Email Filter,Hostkarma,hostkarmajunkemailfiltercom strikethrough|blacklisthostkarmacom,Detects viruses by behavior using fake high MX and tracking nonuse of QUIT,Automated [de]listing,Black list Data lives for 4 days White list data lives for 10 days,127001=white 127002=black 127003=yellow,yes,no
strikethrough|The Abusive Hosts Blocking List (AHBL),strikethrough|dnsbl,strikethrough|dnsblahblorg,strikethrough|Aggregate zone  contains UCE/bulk email senders  open proxies  open relays  trojaned/infected machines  comment/trackback spammers,strikethrough|Feeder systems  manual,strikethrough|Until delisting requested As announced [10] all public zones are no longer functioning (they return positive responses for all queries),strikethrough|Aggregate zone (all aggregates and what they include are listed on AHBL)[11],yes|strikethrough|Yes,no|strikethrough|no
strikethrough|rhsbl,strikethrough|rhsblahblorg,strikethrough|Domains sending spam  domains owned by spammers  comment spam domains  spammed URLs,strikethrough|Manual,[empty],yes|strikethrough|Yes,no|strikethrough|No,[added],[added]
strikethrough|ircbl,strikethrough|ircblahblorg,strikethrough|Subset of dnsbl  contains only open proxies  compromised machines  comment spammers,strikethrough|Until delisting requested,strikethrough|Designed for use on IRC servers,yes|strikethrough|Yes,no|strikethrough|No,[added],[added]
strikethrough|Quorumto,strikethrough|ipdnsbl,strikethrough|listquorumto ( or persubscriber [id]listquorumto ),strikethrough|Stop spam from hosts that send no legitimate mail (list most nonmailsending hosts),strikethrough|Listings based on "instant" automated checks  recipient nomination and traps,strikethrough|Listings can be challenged Subscribers vote to decide sender status,strikethrough|Public list follows standard dnsbl protocol Subscription based service is more capable  but does not follow standard,yes|strikethrough|Yes,no|strikethrough|No
Heise Zeitschriften Verlag GmbH & Co KG  hosted by manitu GmbH,NiX Spam (nixspam),ixdnsblmanitunet,Lists single IPs (no IP ranges) that send spam to spamtraps Lists mailhosts  rather than domains  and thus blocks entire hosting providers and ISPs,Automated listing due to spamtrap hits Exceptions apply to bounces  NDRs and whitelisted IPs,12 hours after last listing or until self delisting,TXT records provide information of listing incident  NiX Spam also provides hashes for fuzzy checksum plugin (iXhash) for SpamAssassin,no,yes (for ISPs/ESPs on request)
inpsde,inpsdeDNSBL,dnsblinpsde,Single IP addresses,IP addresses can be reported as known spam sources by users  additionally automated listing if spam arrives at the mailservers of inpsde,IP addresses are listed until they are removed manually via the website,A and TXT records are available for each entry; Removal is free after 30 days for automatic additions and after 7 days for manual additions; otherwise removal fee is at least EUR 1000,maybe,no
blocklistde [2],dnsbl,blblocklistde,IPAddresses who Attacks other Server/Honeypots over ssh  imap  smtp  ftp  web  rfi  sqli  ddos,Automatic over Honeypots and with over 515 Users and 630 Servers from blocklistde via Fail2Ban or own scripts,Automatic 48 Hours after the last Attack But earlier remove is available over the DelistLink,Services are free Source data is from HoneypotSystems and over 515 User with 630 Servern there reports Attacks with Fail2Ban,no,yes
SRNSurGATE Reputation Network,SRN,srnblacksurgatenet,Spam sources  relay abusers,Feeder servers,Automatic expiry (varies by type); webpage allows delisting,Removal requests are quickly and manually reviewed and processed without fees,yes,no
s5hnet Internet Services,s5hnet,alls5hnet,Spam sources from email  forums  referrer spam and dictionary attacks,Traps,Twelve months unless ISPs request removal earlier,By request ISPs can provide request exclusion,yes,no
strikethrough|MegaRBL,strikethrough|RBL,strikethrough|rblmegarblnet,strikethrough|IP addresses used to send spam to traps,strikethrough|spamtraps  in order to avoid abusive reports (Competitors  false positive  etc) only MegaRBL team can add an IP to the list,strikethrough|Until delisting requested  which is impossible,strikethrough|Removal requests are impossible  since the necessary login after registration fails every time So without possibility to log in there is really no way to place a removal request Once listed on MegaRBL an IP stays there forever Maybe preparation for upcoming business model to earn much money with a removal service Should not be considered a serious source for blacklist info Domain expired in November  2019 and service is discontinued[12],strikethrough|no,strikethrough|yes
realtimeBLACKLISTcom,RBL,rblrealtimeblacklistcom,Spam Trap,List of IP addresses that sends spam or causing troubles with botnets or phishing,Until delisting requested,Removal requests will be investigated and processed within 24 hours of submission Previously known as IPrangenet RBL Project,no,no
James Sawyer,Blocklist,securityjamessawyercouk,Collection of Bad Actors from various sources  Works great with PiHole for personal use,Spammers  Scammers  Malware  Cryptominers  TOR  botnets  phishing  attackers  harvesters  exfiltration etc Basically anything and everything "bad",Until delisting requested,Removal requests will be investigated Contact details provided,yes,no
BarracudaCentral,RBL,bbarracudacentralorg,Spam Trap,Provides a list of IP addresses which are sending spam The Barracuda Reputation system uses automated collection methods to add and delete IP addresses from the BRBL,Until delisting requested,Requires registration of administrator and hosts to use Removal requests are typically investigated and processed within 12 hours of submission if provided with a valid explanation,no,no
SPFBLnet,RBL,dnsblspfblnet,Bad reputation  difficult to identify the responsible  dynamic IP  SLAAC flag without genuine email service and inappropriate use of the URL,Provides a list of IPv4/IPv6 addresses and domains which are sending spam or phishing,Until delisting requested or seven days with good reputation,The feedback system runs at SMTP layer See https//spfblnet/en/feedback,yes,yes
strikethrough|Virbl,strikethrough|RBL,strikethrough|virbldnsblbitnl,strikethrough|IP addresses that recently sent viruses,strikethrough|2 virus mails sent to an associated system,strikethrough|Automatic delisting Listed as long as there were more than 2 virus mails sent in the last week Offline Since May 2016,[empty],strikethrough|No,no|strikethrough|No | ! LashBack ! UBL | ublunsubscorecom | IP addresses which have sent email to addresses harvested from suppression (optout) files | Traps | For 30 days after last offending message unless removal is requested | | No | No | ! rowspan=2 | The NordSpam Project ! NordSpam IP Blacklist | blnordspamcom | IP addresses detected as unsolicited bulk/commercial email senders  webspam | Manual | Until delisting requested | Removal requests are manually reviewed and processed without fees | rarely|Rarely (escalation) | Sometimes | ! NordSpam Domain Blacklist | dblnordspamcom | Unsolicited bulk/commercial email senders  webspam | Manual | Until delisting requested | Removal requests are manually reviewed and processed without fees | No | Sometimes | ! 0Spam Project ! DNSBL | 0spamfusionzerocom | Spam Traps | A single IP(12700#) is listed upon sending spam to a spam trap  sending from multiple IPs within a range within a short period of time will result in a class C listing(1270#0) | Until an IP owner/authorized admin requests listing removal | Single IP Listed with Data result 12700# Class C IP Block Listed with Data result 1270#0 Codes are as follows (ie General spam single IP result 127001 ) general spam  Sending spam to our spam traps Removal request made but missing required information  please make a new request and be sure to complete the form properly Does not follow valid canspam rules for newsletters / lists Not RFC compliant  server errors or improper configuration Repeat offenders  these are IP's that have been removed and listed again (3) or more times in a short period of time Bouncing email to the wrong server  RFCnoncompliant configurations Relay or Open relay with reports of spam bouncing spoofed emails  you need to disable bounce of spoofed emails in order to get de listed Fraud/Scam emails  malware or illegal/abusive content | No | No | Notes "Collateral Listings"  Deliberately listing nonoffending IP addresses  in order to coerce ISPs to take action against spammers under their control "Notifies upon listing"  Warns the owner of the IP/Domain when they list an IP (so owners can take action to fix the problem) References Reflist External links Blacklist Checker queries the major DNS Blacklists for specific IP address and returns whether it is listed for any malicious activities RBL Check  RBL Check  Multiple & RealTime Blacklists Compared  weekly reports since July 2001 (no new reports since 13 September 2014) Intra2net Blacklist Monitor  tracking more than 40 blacklists and giving weekly reports on hits and false positives Instant Multiple DNSBL Check Test  Opentouse  Multiple DNSBL Check Test MultiRBL Checking Tool  MultiRBL Checker Tool (Check to see if your IP is showing up one or more RBLs) RBLTracker DNSBL Monitoring  Automated  RealTime Black List Monitoring Service SpamAssassin rule statistics  SpamAssassin's rule ham/spam ratios over time List of all RBLs  Information about all existing blacklists including discontinued blacklists Mail Server Blacklist Monitor  Blacklist monitoring service checking 150 blacklists  can be used freely Barracuda Central  Devoted to sharing information with Barracuda Networks customers and the Internet security community WebIron  Dedicated to advanced bot network detection  tracking  blocking and eradication through cleanup and reporting WebSitePulse Realtime monitoring service ensures the IP a mail server has not fallen into one of the major DNSBL blacklists INPS Comparison of DNS blacklists and whitelists including spam hits  nonspam hits and error rates
