Spanish,Portuguese,English
cola (< Lat. ),fila; bicha; cauda; rabo; linha (< Fr. file; < Lat. ; < Lat. ; < Lat. ; < Lat. ),queue  file  tail
vaso (< Lat. ),copo (< Lat. ),glass  cup
copo (< Lat. ),floco (< Lat. ),flake
competencia (< Lat. ),concorrência  competição (< Lat. ),competition
despido (< Lat. ),demissão (< Lat. ),dismissal  firing
oso (< Lat. ),urso (< Lat. ),bear
pez (< Lat. ),peixe (< Lat. < Indo-European ),fish
polvo (< Lat. ),pó (< Lat. ),dust
tienda (< Lat. ),loja; negócio; butique; estabelecimento; depósito (< Fr. loge < Frankish ; < Lat. ; < Fr. boutique < Lat. ; < Lat. ; < Lat. ),shop  business  depot
ganancia (< Gothic ),ganho  lucro  interesse  rendimento  proveito  vencimento  acréscimo (< Frankish ; < Lat. ; < Lat. ; < Lat. + ; < Lat. ; < Lat. ; < Lat. + suffix -imo),profit  gain  interest
inversión (< Lat. ),investimento (< Lat. ),investment
embarazada (< Port. embaraçada),grávida (< Lat. + ),pregnant
estafa (< Ital. staffa),calote  fraude  burla (< Fr. culotte; < Lat.; < probably Lat. ),swindle  fraud  trickery
exquisito (< Lat. ),refinado; esmerado (< Lat. ; < Lat. ),exquisite
molestia (< Lat. ),incómodo  inconveniência  maçada (< Lat. ; < Lat. ; < Lat. + Port. -ada),inconvenience  disturbance
servicios (< Lat. ),lavabo  lavatório  toilette  toalete  WC  sanitário (< Lat. ; < Lat. ; < Fr. toilette; < Eng. water closet; < Lat. ),toilet  WC  lavatory
perro (probably < onomatopoeic perr),cão (< Lat. )  cachorro (< Lat. + Basque -orro),dog
berro (< Celt. ),agrião (< Gr. ),watercress
aceite (< Ar. az-zayt),óleo (< Lat. ),oil
oficina (< Lat. < < + ),escritório  gabinete  atelier  agência  cartório  bureau/birô  departamento  workshop  oficina de reparação automóvel  garagem auto mecânica (< Lat. ; < Fr. cabinet; < Fr. atelier; < Ital. agenzia; < Lat. + suffix ; < Fr. atelier; < Lat. ; < Lat. + Gr ; < Eng. workshop; < Fr. garage + Gr. α�?το + Lat. ),office  workshop
firma (< Lat. ),assinatura (< Lat. ),signature
presunto (< Lat. ),presum�vel  suspeito  provável (< Lat. ; < Lat. ; < Lat. ),presumed  suspect
risco (< Lat. ),falésia (< Fr. falaise),cliff
topo (< Lat. ),toupeira (< Lat. + Port. -eira),mole  moleskin
Portuguese,Spanish,English
[added],[added],[added]
cola (< Lat. ),pegamento  cola (< Lat.   < Lat. ),glue
vaso (< Lat. ),maceta  tiesto (< Hisp.-Ar. maceta  maybe < Ital. mazzetto; < Lat. ),vase  flowerpot
floco (< Lat. ),copo (< Lat. ),flake
competência (< Lat. ),aptitud  capacidad (< Lat. ),competence  competency
despido (< Lat. ),desnudo (< Lat. + ),naked
osso (< Lat. ),hueso (< Lat. ),bone
pez (< Lat. ),brea (< Fr. brayer),pitch  resin
polvo (< Gr. ),pulpo (< Gr. ),octopus
tenda (< Lat. ),tienda  lona  toldo (< Lat. ; < Fr. Olonne; < Fr. taud < Old Germ. tialz),tent  marquee
ganância (< Gothic ),codicia  avaricia  afán (< Lat. ; < Lat. ; probably < Lat. ),greed  avarice  covetousness
inversão (< Lat. ),inversión (< Lat. ),inversion
embaraçada (< Lat. + O.Port. baraça  of uncertain origin),avergonzada (< Lat. ),embarrassed
estafa (< Ital. staffa),agotamiento  fatiga  extenuación (< Lat.; < Lat.; < Lat. ),exhaustion  tiredness  wear out
esquisito (< Lat. ),raro  extraño  peculiar (< Lat. ; < Lat. ; < Lat. ),odd  strange  peculiar
moléstia (< Lat. ),enfermedad  achaque  plaga  peste (< Lat. ; < Ar. šak�?; < Lat. ; < Lat. ),disease  plague
serviço (< Lat. ),servicio (< Lat. ),service
perro (origin uncertain  maybe < Sp. perro),oxidado (< Greek + Lat. suffix ),rusty
berro (< Lat. ),chillido  berrido (< Lat. ; < Lat. ),screech  shriek
aceite (< Lat. ),aceptado (< Lat. ),accepted
oficina (< Lat. < ),taller; taller de coches; taller mecánico de autos (< Old Fr. astelier; < Old Fr. estalier + Lat. ; < Old Fr. astelier + Lat. + Gr. α�?το),auto repair centre  repair garage  workshop
firma (< Lat. ),empresa; compañ�a; sociedad  negocio (< Lat. ),business  firm  company  corporation  enterprise  venture  establishment  group  house
presunto (< Lat. ),jamón (< Fr. jambon),ham  prosciutto
risco (< Lat. ),riesgo (< Arabic rizq<ref></ref> or maybe Italian rischio}}),risk  line
topo (< Gr. ),cumbre (< Lat. or ),top
diving,buceo < Port.,mergulho < Lat.,[added]
bait,cebo < Lat.,isca < Lat.,[added]
skirt,falda < Germanic,saia < Lat. sagum < Celtic,[added]
glasses,gafas < Uncertain  maybe Arabic <ref></ref>,óculos < Lat.,[added]
stiffness (muscular),agujetas < Lat.,dor muscular < Lat.,[added]
operating theatre,quirófano < Gr.,sala de operações''  sala de cirurgia  bloco operatório < Ger + Lat.   < Ger + Gr.   < Ger + Lat.,[added]
stem cell research,investigación con células madre < Lat.,pesquisa de células estaminais < Lat.,Brazilian Por. uses pesquisa de células tronco
stream  creek,arroyuelo < Pre-Roman,ribeira  ribeiro < Lat.,[added]
stubborn,terco or testarudo < Lat.,teimoso < Lat.   < Gr.,[added]
plateau,meseta < Lat.,planalto < Lat.,[added]
wave,ola < Uncertain origin,vaga < Gothic <ref></ref> or < Old Norse  <ref></ref> both from Ancient Germanic 'vigan' to shake,Both in Brazilian Por. and European Por. onda is used
broom,aulaga < Ar.,vassoura  giesta  carqueja < Lat.   < Lat.   < Maybe Lat.,[added]
pants  knickers,bragas < Lat. braca < Celtic,cuecas < Lat.,[added]
(bed) sheet,sábana < Lat.,lençol < Lat.,[added]
basketball,baloncesto < Frankish + Lat.,basquetebol < Eng.,[added]
reporter,periodista  periodicista <,repórter < Eng.,Spanish also has reportero
ricochet,rebote < Frankish + Lat. prefix,ricochete < Fr.,[added]
riff-raff  mob,chusma < Genoese ciüsma < Gr.,canalha < Occitan,[added]
cashew,anacardo < Lat.,caju < Tupi,[added]
mushroom,seta < Uncertain origin or ''hongo'",cogumelo < Lat.,[added]
oleander,adelfa < Ar.,aloendro  loendro < Lat.,[added]
pumpkin,calabaza < Pre-Roman,abóbora < Lat.,Port. cabaça means 'calabash''
squid,calamar < Lat.,lula < Lat.,Port. also has calamar
date,fecha < Lat.,data < Lat.,[added]
elsewhere  somewhere  nowhere,en otro lugar < Lat.   en alguna parte < Lat.   en ningún lugar < Lat.,alhures < Provençal   algures < Lat. + Provençal   nenhures < Lat. + Provençal,[added]
nobody,nadie < Lat.,ninguém < Lat.,[added]
lawn,césped < Lat. caespes,relvado  grama < Lat. relevare  < Lat. gramen,[added]
holiday  vacation,vacaciones < Lat. vacatio < vacationis,Férias < Lat. feriae,[added]
card,tarjeta < Fr. targe + diminutive suffix eta,cartão  carta < Gr. χά�?της < Lat. charta,[added]
beef steak,filete < Lat. filum,bife < Eng. beef steak,Port. also has filé
retaliation,retorsión < Lat. retorsus,retaliação < Lat. retalio,[added]
remorse,arrepentimiento < Lat.,remorso(s) < Lat.,Sp. also has remordimiento and Port. also has arrependimento
boot (car),maletero < Old Fr. + Sp. suffix malle + eta + ero,porta-bagagens < Lat. + Germanic portare + baugaz,Brazilian Port. tends to use porta-malas or bagageira
glove box (car),guantero < Frankish + Sp. suffix want + ero,porta-luvas < Lat. + Gothic/Suebian portare + lôfa,[added]
thin,delgado < Lat.,magro < Lat.,Sp. magro means 'lean'  in reference to meat
surface  peel,superficie < Lat. superfic�es,tona < Celt. tond�?/tunna,Port. also has superf�cie.
earring,pendiente < Lat. pendere,brinco < Lat. vinculum,[added]
watermelon,sand�a < Ar. sindiyyah,melancia < balancia < Lat. bilanx,[added]
passion fruit,fruto de la pasión < Lat. fructa + passio,maracujá < Tupi moruku'ia,Sp. also has maracuyá
window,ventana < Lat.,janela < Lat.,Lat. 'wind opening' < 'wind'. Lat. is a diminutive of 'door  opening' (the same root as Eng. January and janitor) < the name   the God of gates or doors.
counter,ventanilla < Lat.,balcão < Germanic,Sp. balcón means 'balcony'
to disrupt  to get in the way (of someone/smthg),molestar  estorbar < Lat.  ,atrapalhar < Low-Frankish,[added]
to erase,borrar < Late Lat.,apagar < Lat.,Port. borrar means 'to smudge'; cf. Sp. borroso 'blurry'. Sp. apagar means 'to turn off' (a meaning that also exists in Port.  e.g. apagar a luz 'to turn off the light').
to forget,olvidar < Lat.,esquecer < Lat.,Olvidar also exists in Port. (but is far less common). A learned cognate  obliterar  exists in both languages.
to retort  to strike back,contraatacar < Lat. + Ita.,ripostar < Fr.,[added]
to throw  to add,echar < Lat.,atirar  pôr < Gothic/Suebian   < Lat.,[added]
to smell,oler < Lat.,cheirar < Lat.,[added]
to snore,roncar < Lat. < Gr.,ressonar Prefix + < Lat.,Por. uses roncar for very loud snoring in humans or animal sounds i.e. pigs
slug,babosa < Lat.,lesma < Lat.,[added]
simple,sencillo < Lat.,simples < Lat.,Sp. also has simple.
stage,escenario < Lat.,palco < Langobardic,[added]
fear,temor < Lat.,receio < Lat. re +,Port. also has temor.
harvest  crop,cosecha < Lat.,seara < Celtic,Port. colheita and recolha (both < Lat. ) generally refer to the harvest of crops  wine or data collection (i.e. online surveys  personal data).
black,negro < Lat.,preto < Lat. 'compressed  dense',Port. also has negro and Sp. also has prieto. Use and connotation vary greatly (i.e. the use of preto to refer to people of African descent is considered a slur in Port. but the prieto in Sp. can often mean "dark"  "tan"  or "swarthy" in a similar fashion to moreno in both Sp. and Port.).
near,cerca < Lat.,perto perh. < Lat. *  alteration of 'compressed',[added]
far,lejos < Lat.,longe < Lat.,[added]
spark,chispa (onomatopoeic),fa�sca < Germanic,[added]
shard,esquirla < Lat.   < Indo-European,lasca < *Proto-Germanic   or < *Lat.,[added]
toy,juguete < Lat. + Sp. suffix,brinquedo < Proto-Germanic,[added]
swine,cochino (onomatopoeic),su�no < Latin suīnus < Proto-Germanic,[added]
dew,roc�o < Lat.,orvalho < Gothic/Suebian 'ur' + 'vallen' < Proto-Germanic,[added]
pen,bol�grafo < Lat.,caneta < Lat.,[added]
print (evidence),huella < Lat.,marca < Germanic,[added]
windrow,hilera < Lat. + Sp. ?era,leira < Proto-Celtic,[added]
yesterday,ayer < Lat.,ontem < Lat.,[added]
to stay,quedarse < Lat.,ficar < Vulg.Lat. *,[added]
hairdresser,peluquero < peluque < French perruque "wig",cabeleireiro < cabeleira 'head of hair; wig' < cabelo < Lat.,Port. peruca means 'wig'
chair,silla < Lat.,cadeira < Lat. *  perh. < Proto-Celtic *,[added]
cup  mug,taza < Arabic,chávena < Malay < Chinese <   caneca < Germanic,Brazilian Port. tends to use x�cara < Sp. j�cara < Nahuatl xīcalli.
fork,tenedor < Lat. + Sp. suffix,garfo < either via Lat. or < Fr.,[added]
ladybird,mariquita < Lat. toponymic Maria + dimin.suffix 'quita',Joaninha < Lat. toponymic,[added]
robin,petirrojo < Lat. pectus + russus,pisco < Lat < Gaulish,[added]
peach,melocotón < Lat.,pêssego < Lat.,[added]
pillowcase,funda < Lat.,fronha < Celt.,[added]
grasshopper,saltamontes < Lat.,gafanhoto < Proto-Celtic,[added]
weasel  skunk,mofeta < Ita.,doninha < Lat.,[added]
trousers,pantalón < Fr. < Ita.,calças < Lat.,[added]
doorbell,timbre(de la puerta) < Fr.,campainha < Lat.,Spanish also has campanilla.
thunder,trueno < Lat.,trovão < Lat.,[added]
noise,ruido < Lat.,barulho < Gaulish,Port. also has ru�do  particularly for isolated/unexpected sounds or noises
handicapped,minusválido < Lat.,Deficiente < Lat.,[added]
development,desarrollo < Lat. + prefix des,desenvolvimento < Lat. + des,[added]
unavoidable,indefectible < Lat. + prefix in,incontornável < Lat. + prefix in,[added]
drug addict,drogadicto < Eng.,toxicodependente  drogado < Lat.   < Fr.,Both Port. and Sp. have 'toxicomania' for drug addiction
budget,presupuesto < Lat.,orçamento < Uncertain  Ita. 'orza' or likely Frankish *lurz + Lat. </ref> + mentum}},[added]
Meaning,Spanish,Portuguese,Notes
newspaper  journal,periódico < Lat. <ref>cite web=http://lema.rae.es/drae2001/srv/search?id=5PeQFtmrpDXX2uorNxRD</ref>,jornal < Fra.,[added]
journalist,periodista < Lat. <ref>cite web=https://dle.rae.es/?id=SdXmMfo</ref>,jornalista < Fra.,[added]
journey,recorrido < Lat. <ref>cite web=https://dle.rae.es/?id=VV8nBVl</ref>,jornada < Provençal. <ref>cite web=https://dicionario.priberam.org/Jornada</ref>,[added]
shop window,escaparate < Ned. <ref>cite web=https://dle.rae.es/?id=G9x5YVe</ref>,montra < Fra.,The French-derived term vitrina (in both Spa/Por) or vitrine (in Por) is also used.
boutique  clothes store,tienda< Lat. <ref>cite web=https://dle.rae.es/?id=ZiuGZf2</ref>,boutique  butique < Fra. <ref>cite web=https://dicionario.priberam.org/boutique</ref>,[added]
scarf,bufanda < Uncertain  maybe O.Fra. <ref>cite web=https://dle.rae.es/?id=6EuteTQ</ref>,cachecol  écharpe <ref>cite web=https://dicionario.priberam.org/Traduzir/FR/Cachecol  https://dicionario.priberam.org/écharpe</ref>,[added]
lampshade  bedside lamp,lámpara < Lat. < Gre. <ref>cite web=https://dle.rae.es/?id=MqsgHQe</ref>,abajur < Fra. <ref>https://dicionario.priberam.org/abajur</ref>,[added]
New Year's Eve,Nochevieja < Lat. <ref>cite web=https://dle.rae.es/?id=QYNKPBi</ref>,Reveillon < Fra.,[added]
frisson,escalofr�o < Lat. + prefix <ref>cite web=https://dle.rae.es/?id=6qb7b4Q</ref>,frisson < Fra. <ref>https://dicionario.priberam.org/frisson</ref>,[added]
gaffe  blunder,metedura de pata < Lat. + Ar. <ref>cite web=https://dle.rae.es/?id=P6ZDH5A</ref>,gafe < Fra. <ref>cite web=https://dicionario.priberam.org/gafe</ref>,[added]
brioche,5oMzmRS</ref>  <ref>//dle.rae.es/?id=N2tsDWF</ref>,brioche < Fra. <ref>cite web=https://dicionario.priberam.org/Brioche</ref>,[added]
croissant,medialuna < Lat. <ref>cite web=https://dle.rae.es/?id=Ojw4MT7</ref>,croissant  croassã < Fra. <ref>cite web=https://dicionario.priberam.org/Croissant</ref>,[added]
courgette  zucchini,calabac�n < Pre-roman <ref>cite web=https://dle.rae.es/?id=6f5ACUl</ref>,courgette  curgete < Fra. <ref>cite web=https://dle.rae.es/?id=6f5ACUl</ref>,[added]
blueberry,arándano < Celt + Lat. <ref>cite web=https://dle.rae.es/?id=3OtO9Li</ref>,mirtilo < Fra. <ref>cite web=https://dicionario.priberam.org/Mirtilo</ref>,In Por. arando < Celt means cranberry
billy club  truncheon,porra < Lat. <ref>cite web=https://dle.rae.es/?id=Ti8Fpm1</ref>,cassetete  casse-tête < Fra. <ref>cite web=https://dicionario.priberam.org/Traduzir/ES/cassetete</ref>,[added]
creche,JjJWqPL</ref>,creche < Fra. <ref>cite web=https://dicionario.priberam.org/creche</ref>,[added]
voyeur,mirón < Lat. <ref>cite web=https://dle.rae.es/?id=PMSRG3d</ref>,voyeur < Fra.,[added]
omelette,tortilla < uncertain + suffix,omelete < Fra. <ref>cite web=https://dicionario.priberam.org/omelete</ref>,[added]
swing,columpio < Leon. < Gr. <ref>cite web=https://dle.rae.es/?id=9s2ului</ref>,balancé < Fra. <ref>cite web=https://dicionario.priberam.org/balancé</ref>,[added]
lipstick,pintalabios < Lat. <ref>cite web=https://dle.rae.es/?id=T4mVfYB</ref>,batom < Fra. <ref>cite web=https://dicionario.priberam.org/Batom</ref>,[added]
cap,gorra < uncertain <ref>cite web=https://dle.rae.es/?id=JMIxQbW</ref>,boné < Fra. <ref>cite web=https://dicionario.priberam.org/boné</ref>,[added]
(train) station,estación (ferrocarril) < Lat. <ref>cite web=https://dle.rae.es/?id=GjFmHfd</ref>,gare < Fra. <ref>cite web=https://dicionario.priberam.org/gare</ref>,The term gare in Port. is also used for bus-station.
quay  jetty  key,PzvbXVy</ref>,cais < Fra. <ref>cite web=https://dicionario.priberam.org/Cais</ref>,The term cais in Port. is also used for railway platforms.
vehicle,veh�culo < Lat. <ref>cite web=https://dej.rae.es/lema/veh%C3%ADculo</ref>,viatura < Fr. <ref>cite web=https://www.infopedia.pt/dicionarios/lingua-portuguesa/viatura</ref>,[added]
package  packaging,envase < Lat. <ref>cite web=https://dle.rae.es/?id=bP4cDIX</ref>,embalagem < Fr. <ref>cite web=https://dicionario.priberam.org/Embalagem</ref>,[added]
rissole,empanadilla rellena < Lat. + prefix,rissol  rissole < Fra. <ref>cite web=https://dicionario.priberam.org/rissole</ref>,[added]
souvenir,recuerdo < Lat. <ref>cite web=https://dle.rae.es/?id=VV3nlWy</ref>,souvenir  suvenir < Fr. <ref>cite web=https://dicionario.priberam.org/suvenir</ref>,[added]
strike,huelga < Lat. <ref>cite web=https://dle.rae.es/?id=KZEIwrY</ref>,greve < Fr. <ref>cite web=https://dicionario.priberam.org/greve</ref>,[added]
[added],[added],[added],[added]
Meaning,Spanish,Portuguese
mayor,alcalde < Hisp. Ar. < Arabic <ref>cite web=https://dle.rae.es/?id=1bOD9ux</ref>,presidente da câmara (municipal) / prefeito < Lat.
bricklayer  stonemason,albañil < Hisp. Ar. < Arabic <ref>cite web=http://etimologias.dechile.net/?alban.il</ref>,pedreiro < Lat.
potter,alfarero < Hisp. Ar. < Arabic <ref>cite web=https://dle.rae.es/?id=1jerbOJ</ref>,oleiro < Lat.
vest,chaleco < Alg. Ar. < Turk <ref>cite web=http://etimologias.dechile.net/?chaleco</ref>,colete < Ita.
basil,albahaca < Hisp. Ar. < Arabic <ref>cite web=https://dle.rae.es/?id=1UmZ3Ns</ref>,bas�lico  manjericão < Lat.  uncertain origin
bean,alubia < Hisp. Ar. < Arabic <ref name="ddd.uab.cat">cite web=https://ddd.uab.cat/pub/tfg/2016/tfg_45415/TFG_2015-16_FTI_Khayat.pdf</ref>,feijão < Lat. <ref>cite web=https://dicionario.priberam.org/feijão</ref>
celery,chiriv�a < Hisp. Ar. <ref>cite web=https://dle.rae.es/?id=8rvR43Q</ref><ref>cite web=https://dle.rae.es/?id=1cjAXsV</ref>,aipo < Lat.
watermelon,sand�a < Hisp. Ar. < Arabic <ref name="ddd.uab.cat"/>,melancia < Lat.
thrush,zorzal < Hisp. Ar. < Arabic <ref>cite web=https://dle.rae.es/?id=cViNNkW</ref>,tordo < Lat.
hobby (bird),alcotán < Hisp. Ar. < Arabic <ref>cite web=https://dle.rae.es/?id=1emg5xh</ref>,ógea < uncertain origin
mackerel,jurel < Hisp. Ar < Lat <ref>cite web=https://dle.rae.es/?id=Me5XkaM</ref>,cavala < Gaulish < Celt . <ref>cite web=https://www.academia.edu/36260415/De_lindo-européen_au_celtique_Les_noms_du_cheval_en_gaulois_et_dans_lonomastique</ref>
