DDC,LCC,Description
496,PL8000–8844,African languages
497,PM101–2711,North American languages (Native American languages)
498,PM3001–4566,Central American Languages (Native American languages)
498,PM5001–7356,South American Languages (Native American languages)
500,Q,Natural sciences & mathematics
510,QA,Mathematics
512,QA150–272,Algebra
513,QA101–145,Arithmetic
514,QA612–699,Topology
515,QA299–433,Analysis / Calculus
516,QA440–611,Geometry (excluding Topology)
519,QA273–299,Probability  Statistics  Numerical analysis
520,QB,Astronomy
521,QB349–421,Celestial mechanics
530,QC,Physics
531,QC120–168.85,Classical mechanics; Solid mechanics
532,QC120–168.85,Fluid mechanics; Liquid mechanics
533,QC120–168.85,Gas mechanics
534,QC221–246,Sound & related vibrations
535,QC350–467,Light & paraphotic phenomena
536,QC251–338.5,Heat
537,QC501–721,Electricity & electronics
538,QC750–766,Magnetism
539,QC770–798,Modern physics
540,QD,Chemistry & allied sciences
541,QD450–801,Physical & theoretical chemistry
542,QD1–65,Techniques  equipment  materials
543,QD71–142,Analytical chemistry
544,QD71–142,Qualitative analysis
545,QD71–142,Quantitative analysis
546,QD146–197,Inorganic chemistry
547,QD241–441,Organic chemistry
548,QD0001–0999,Crystallography
549,QE351–399.2,Mineralogy
550,QE,Earth sciences
551,QE,Geology
551,GB651–2998,Hydrology
551,QC851–999,Meteorology
552,QE420–499,Petrology
553,QE?,Economic geology
560,QE701–760,Paleontology
560,QE7601–899,Paleozoology
570,QH301–705.5,Life sciences – Biology
572,QD415–436,Biochemistry
572,GN,Anthropology
573,GN49–298,Physical anthropology
574,QH301–705.5,Biology
575,QH359–425,Evolution
575,QH426–470,Genetics
576,QH573–671,Microbiology
577,QH540–549.5,Ecology
578,QH201–278.5,Microscopy in biology
579,QH1–199.5,Collection and preservation
580,QK,Botanical sciences
581,QK,Botany
582,QK474.8–495,Spermatophyta (Seed-bearing plants)
585,K494–494.5,Gymnospermae (Pinophyta)
586,QK504–638,Cryptogamia (Seedless plants)
590,QL,Animals
591,QL1–355,Zoology
592,QL360–599.82,Invertebrates
593,QL360–599.82,Protozoa  Echinodermata  related phyla
594,QL360–599.82,Mollusca & Molluscoidea
595,QL360–599.82,Other invertebrates
596,QL605–739.8,Vertebrata (Craniata  Vertebrates)
597,QL614–639.8,Fishes
597,QL640–669.3,Reptiles and amphibians
598,QL671–699,Aves (Birds)
599,QL700–739.8,Mammalia (Mammals)
600,T,Technology (Applied sciences)
607,T61–173,Education
607,T175–178,Research
608,T201–342,Invention & patents
608,Q,Invention & patents
610,R,Medicine
611,QM,Human anatomy
611,QH573–671,Cytology
611,QM550–577.8,Histology
612,QP,Human physiology
615,RM,Pharmacology & Therapeutics
617,RD,Surgery & Related Topics
618,RG,Gynecology
618,R,Other medical specialties
619,R735–854,Experimental medicine
620,TA,Engineering & allied operations
621,TJ,Mechanical engineering
621,QC,Applied physics
622,TN,Mining & related operations
623,UG1–620,Military engineering
623,VM,Nautical engineering
624,TA,Civil engineering
[empty],TG,Bridge Engineering
625,TF,Engineering of railways
625,TE,Engineering of highways
627,TC1–978,Hydraulic engineering
628,TD,Sanitary & engineering
628,TD159–168,Municipal engineering
629,T,Other branches of Engineering
[empty],TK,Electrical Engineering  electronics  nuclear engineering
[empty],TL,Motor vehicles  Aeronautics  Astronautix
[empty],TP,Chemical Technology
630,S,Agriculture
631,S1–972,Techniques  equipment  materials
632,SB599–990.5,Plant injuries  diseases  pests
633,SB317.5–319.864,Horticulture
634,SB354–402,Fruits
634,SD,Forestry
634,SB169–172.5,Orchards
636,SF,Animal husbandry
637,SF250.5–275,Processing dairy & related products
638,SF518–561,Insect culture
639,SK,Hunting  fishing
639,S604.5–604.64,Conservation
640,TX,Home economics
650,HD28–70,Management & auxiliary services
653,Z53–102,Shorthand
657,HF5601–5689,Accounting
658,HD28–70,General management
659,HF5801–6182,Advertising
660,TP155–156,Chemical engineering
670,HD9720–9975,Manufacturing
680,TT,Handicrafts
690,TH,Buildings
700,N,Arts
708,N400–3990,Museums
710,SB469–476,Landscape art
720,NA,Architecture
730,NB,Plastic arts  Sculpture
736,NB0001–1952,Carving & carvings
738,NB0001–1952,Ceramic arts
739,NB0001–1952,Metalwork
740,NC,Drawing
740,NK,Decorative arts
746,NK8800–9505.5,Textile arts
748,NK5100–5440,Glass
749,NK2200–2750,Furniture & accessories
750,ND,Painting
760,NE,Graphic arts  Printmaking & prints
761,NE1330–1352,Relief processes (Block printing)
763,NE2250–2570,Lithography
764,NE2236–2240.6,Chromolithography & serigraphy
765,NE1400–1879,Metal engraving
767,NE1940–2232.5,Etching & drypoint
770,TR,Photography & photographs
780,M,Music
781,MT,General principles & musical forms
782,M1495–5000,Vocal music
783,M1528–1529.5,Music for solo voice
784,M1000–1075,Orchestras  ensembles
785,M1000–1075,Ensembles with one instrument per part
786,MT180–255,Keyboard instrument
787,MT259–338,String instruments
788,MT339–533,Wind instruments
790,PN1560–1590,Performing arts
790,GV,Recreation
792,PN2000–3307,Theater and other stage presentations
793,GV1221–1469.63,Indoor games & amusements
795,GV1301–1311,Games of chance
796,GV557–1198.995,Sport
797,GV750–770.27,Air sports
797,GV770.3–840,Aquatic sports
799,SK,Fishing  Hunting  Shooting
800,P,Literature & rhetoric
810,PS,American literature
820,PR,English literature
830,PT1–4897,German literature
840,PQ0001–3999,French literature
850,PQ4001–5999,Italian literature
860,PQ6001–8929,Spanish literature
869,PQ9000–9999,Portuguese literature
870,PA6001–8595,Latin literature
880,PA3050–5660,Greek literature
890,PN,World literature
900,G,Geography
900,D,History
910,G,Geography
911,G141,Historical geography
912,GA,Graphic representations of earth
914,G1791–2196,Geography of Europe
915,G2200–2444,Geography of Asia
916,G2445–2739,Geography of Africa
917,G1105–1692,Geography of North America
918,G1700–1779,Geography of South America
919,G2740–2799,Geography of Oceania
920,CT,Biography
920,CS,Genealogy
920,CR4480–4485,Insignia
930,D51–90,History of ancient world
938,DE,History of the Greco-Roman World
940,DAW1031–1051,History of Europe
942,DA,History of Britain
943,DD,History of Germany
943.6,DB,History of Austria and Liechtenstein
943.9,DB,History of Hungary
944,DC,History of France
945,DG,History of Italy
946,DP,History of the Iberian Peninsula
947,DJK,History of Eastern Europe
947,DK,History of Russia  Soviet Union  and former Soviet republics.
948,DL,History of Northern Europe; Scandinavia
949.2,DH,History of the Netherlands
949.3,DH,History of Belgium
949.4,DQ,History of Switzerland
949.5,DF,History of Greece
949.6,DR,History of the Balkan Peninsula
950,DS,General history of Asia and Far East
951,DS701–799.9,History of China
952,DS801–897,History of Japan
953,DS201–248,History of Arabian Peninsula (History of Saudi Arabia  etc.)
954,DS401–486.8,History of India
955,DS251–326,History of Iran (Persia)
960,DT,History of Africa
961,DT211–239,History of Libya
961,DT241–269,History of Tunisia
962,DT154.1–159.9,History of Sudan
962,DT43–154,History of Egypt
963,DT371–390,History of Ethiopia (Abyssinia)
963,DT391–398,History of Eritrea
965,DT271–299,History of Algeria
966,DT470–671,History of West Africa & offshore islands
967,DT?,History of Central Africa & offshore islands
968,DT1701–2405,History of South Africa
969,DS349.8–349.9,History of South Indian Ocean islands
970,F,History of North America
971,F1001–1145.2,History of Canada
972,F1421–1440,History of Central America
972,F1201–1392,History of Mexico
973,E,History of United States
980,F2201–3799,History of South America
981,F2501–2659,History of Brazil
982,F2801–3021,History of Argentina
983,F3051–3285,History of Chile
984,F3301–3359,History of Bolivia
985,F3401–3619,History of Peru
987,F2301–2349,History of Venezuela
988,F2351–2471,History of Guiana
990,DU,History of Oceania
993,DU400–430,History of New Zealand
994,DU80–398,History of Australia
995,DU490,History of Melanesia
995,DU739–747,History of New Guinea
803,AG,Dictionaries and other general reference works
069,AM,Museums. Collectors and collecting
050,AP,Periodicals
060–068,AS,Academies and learned societies
030,AY,Yearbooks. Almanacs. Directories
001,AZ,History of scholarship and learning. The humanities
110–140,BD,Speculative philosophy
111.85,BH,Aesthetics
200,BL,Mythology
230,BT,Doctrinal Theology
240–260,BV,Practical Theology
280,BX,Christian Denominations
[empty],C,Auxiliary Sciences of History (General)
909,CB,History of Civilization
930.1,CC,Archaeology
929.1 – 929.3,CD,Diplomatics. Archives. Seals
529,CE,Technical Chronology. Calendar
737,CJ,Numismatics
411.7,CN,Inscriptions. Epigraphy
929.6,CR,Heraldry
909.0491497,DX,History of the Gypsies
551.4,GB,Physical geography
551.46,GC,Oceanography
333.7,GE,Environmental Sciences
304,GF,Human ecology. Anthropogeography
310,HA,Social science statistics
330.9,HC,Economic history and conditions
331–338,HD,Industries. Land use. Labor
649.1–641.7,HQ,The family. Marriage. Women
[empty],HT,Communities. Classes. Races
364,HV,Social pathology. Social and public welfare. Criminology
335,HX,Socialism. Communism. Anarchism
[empty],J,General legislative and executive papers
320,JA,Political science (General)
320.5,JC,Political theory
[empty],JJ,Political institutions and public administration (North America)
320.973,JK,Political institutions and public administration (United States)
320.971,JL,Political institutions and public administration (Canada  Latin America  etc.)
320.94,JN,Political institutions and public administration (Europe)
320.95–320.969,JQ,Political institutions and public administration (Asia  Africa  Australia  Pacific Area  etc.)
[empty],JV,Colonies and colonization. Emigration and immigration. International migration
[empty],KB,Religious law in general. Comparative religious law. Jurisprudence
[empty],KD,Law of the United Kingdom  Ireland  America. North America
340.971,KE,Law of Canada
340.973,KF,Law of United States
[empty],KG,Law of Latin America – Mexico and Central America/West Indies. Caribbean area
[empty],KH,Law of South America
340.94,KJ–KK,Law of Europe
340.95–340.969,KL–KW,Law of Asia and Eurasia  Africa  Pacific Area  and Antarctica
370.9,LA,History of education
370.1,LB,Theory and practice of education
[empty],LC,Special aspects of education
378.73–378.79,LD,Individual educational institutions – United States
378.8,LE,Individual educational institutions – America (except United States)
378.4,LF,Individual educational institutions – Europe
378.5–378.6,LG,Individual educational institutions – Asia  Africa  Indian Ocean islands  Australia  New Zealand  Pacific islands
378,LH,College and school magazines and papers
[empty],LJ,Student fraternities and societies  United States
[empty],LT,Textbooks
