[empty],Manufacturer,First public release date,Product line,Launch price (USD),Units sold
Game Boy Advance SP,Sharp ARM7TDMI and Z80,16.78 MHz and 4.194 MHz,32 KB  256 KB external,None,96 KB
Game Boy Advance,Sharp ARM7TDMI and Z80,16.78 MHz and 4.194 MHz,32 KB  256 KB external,None,96 KB
Swan Crystal,SPGY-1002,3.072 MHz,512 KB,None,?
WonderSwan Color,SPGY-1002,3.072 MHz,512 KB,None,?
WonderSwan,SPGY-1002,3.072 MHz,512 KB,None,?
Game Boy Color,LR35902,4 MHz (single)  8 MHz (double),32 KB  128 KB external,None,16 KB
Neo Geo Pocket Color,Toshiba TLCS900H,6.144 MHz,64 KB,None,12 KB
Neo Geo Pocket,Toshiba TLCS900H,6.144 MHz,64 KB,None,12 KB
Game.com,Sharp 8-bit CPU,?,?,None,?
Game Boy Light,LR35902,4.194 MHz,8 KB,None,8 KB
Game Boy Pocket,LR35902,4.194 MHz,8 KB,None,8 KB
Sega Nomad,Motorola M68000 & Zilog Z80,7.67 MHz & 4 MHz,64 KB,None,64 KB
Mega Duck/Cougar Boy,unknown VLSI processor,4.194304 MHz,16 KB,?,?
Watara Supervision,8-bit 65C02 or M65C02 VLSI processor,4 MHz,Varied by model<ref>[https://web.archive.org/web/20051102123237/http://gc.advancedmn.com/article.php?artid=2966 Advanced Media Network ::: GameCube Advanced – Super Mario 128  Geist  Battalion Wars  Mario Baseball  Mario Soccer]</ref>,?,?
Atari Lynx II,Mikey & Suzy (2 16-bit custom CMOS chips),16 MHz & 16 MHz,64 KB DRAM  128–512 KB external,None,(uses main memory)
Game Gear,Zilog Z80 (8-bit),3.58 MHz,8 KB,[empty],16 KB
TurboExpress,Hudson HuC6280 (8-bit),7.159090 MHz,8 KB,None,64 KB
Game Boy,LR35902,4.194304 MHz,8 KB internal  256 KB – 8 MB external,None,8 KB
Atari Lynx,Mikey & Suzy (2 16-bit custom CMOS chips),16 MHz & 16 MHz,64 KB DRAM  128–512 KB External,None,(uses main memory)
Game Pocket Computer,N/A,N/A,N/A,N/A,N/A
Microvision,Intel 8021/TI TMS1100 (on cartridge),100 kHz,16 bytes  integrated into CPU,N/A,N/A
Mi2,unknown 32-bit MIPS-based CPU,unknown,unknown,16 GB of Flash + SD-card slot,unknown
Xperia PLAY,Qualcomm Snapdragon S2 MSM8255,1 GHz,512 MB,400 MB + microSD card slot,Adreno 205
[empty],Display,Resolution,Colors,Controller,Game media,Operating System
GP2X,3.5" Backlit TFT LCD,320 × 240,262.144 colors (F100) ; 16.77 million colors (F200),Eight-Directional Digital Stick,Secure Digital Memory Cards,[empty]
GPD Win,5.5" backlit H-IPS touchscreen,1280 × 720,[empty],2x analog sticks  D-pad  4 face buttons  4 shoulder buttons  67-button QWERTY keyboard  touchscreen,Various  incl. but not limited to: Digital download  video game ROM .ISO image  MicroSD card,Windows 10
GPD Win 2,6" backlit H-IPS touchscreen (w/wireless Miracast and Intel WiDi support),1280 × 720 (w/4K video support  4096x2304 max),[empty],2x analog sticks  D-pad  4 face buttons  6 shoulder buttons  80-button QWERTY keyboard  touchscreen,Various  incl. but not limited to: Digital download  video game ROM .ISO image  MicroSD card,Windows 10
Pandora,4.3" Backlit LCD touchscreen,800 × 480,16.777.216 colours,Two analogue nubs  4-Way D-pad  2 shoulder buttons  46 key qwerty keyboard  touchscreen,SD  SDHC and SDXC,[empty]
Game Boy Micro,2 in. LCD,240 × 160,32.768 colors,D-pad,Proprietary solid-state cartridge,[empty]
Gizmondo,2.8 in. LCD,240 × 320,65.536 colors,Four-directional digital pad,SD card or downloadable,Windows CE
PlayStation Portable,4.3 in. LCD,480 × 272,16.777.216 colours,Four-directional digital pad  analog thumbstick,UMD or memory stick,[empty]
GCW Zero,3.5" Backlit TFT LCD,320 × 240,262.144 colors,8-directional digital pad  analog joystick  L/R shoulder buttons  ABXY action buttons  start & select buttons  power slider,micro SDHC and micro SDXC,[empty]
Nintendo DS,Two 3 in. LCDs,256 × 192 (×2),262.144 colors,D-pad  stylus-driven touchscreen,Proprietary matrix memory cards,[empty]
N-Gage QD,2.1 in. LCD,176 × 208,4.096 colors,Four-directional digital pad,MMC or downloadable,[empty]
Timetop Gameking 1 & 2,2.1 in. Reflective LCD (Backlit in Gameking 2).,48 × 32,4 shades of gray,Four-directional digital pad,Proprietary solid-state cartridge,[empty]
GP32,3.5 in. TFT,320 × 240,65.536 colors,Four-directional digital stick,Rewritable SmartMedia,[empty]
Dingoo A320,2.8 in. LCD,240 × 320,65.536 colors,Four-directional digital pad  shoulder buttons  action buttons  start & select buttons,Built-in  miniSD card or downloadable,μC/uOS-II Linux
Tapwave Zodiac,3.8 in. LCD,480 × 320,65.536 colors,8-directional analog thumbstick  stylus-driven touchscreen,SD card or downloadable,[empty]
N-Gage,2.1 in. LCD,176 × 208,4.096 colors,Four-directional digital pad,MMC N-Gage Arena,Symbian OS 6.1 (Series 60)
Game Boy Advance SP,2.9 in. LCD,240 × 160,32.768 colors,D-Pad,Proprietary solid-state cartridge,[empty]
Game Boy Advance,2.9 in. LCD,240 × 160,32.768 colors,D-Pad,Proprietary solid-state cartridge,[empty]
Swan Crystal,2.8 in. TFT LCD,224 × 144,4.096 colors  241 simultaneous,Four-directional digital pad,Proprietary solid-state cartridge,[empty]
WonderSwan Color,2.8 in. FSTN reflective LCD,224 × 144,4.096 colors  241 simultaneous,Four-directional digital pad,Proprietary solid-state cartridge,[empty]
WonderSwan,2.49 in. FSTN Reflection LCD,224 × 144,[empty],Four-directional digital pad,Proprietary solid-state cartridge,[empty]
Game Boy Color,TFT LCD,160 × 144,32.768 colors; 10  32 or 56 simultaneous,Four-directional digital pad,Proprietary solid-state cartridge,[empty]
Neo Geo Pocket Color,TFT LCD,160 × 152,4.096 colors  146 simultaneous,8-directional digital thumbstick,Proprietary solid-state cartridge,[empty]
Neo Geo Pocket,TFT LCD,160 × 152,16 palettes per plane?,8-directional digital thumbstick,Proprietary solid-state cartridge,[empty]
game.com,3.9 in. LCD,200 × 160,4,Four-directional digital pad  touchscreen,Proprietary solid-state cartridge,[empty]
Game Boy Light,Backlit Reflective LCD,160 × 144,4,D-Pad,Proprietary solid-state cartridge,[empty]
Game Boy Pocket,Reflective LCD,160 × 144,4,D-Pad,Proprietary solid-state cartridge,[empty]
Sega Nomad,3 in. LCD,320 × 224,512 available  64 simultaneous,Four-directional digital pad,Proprietary solid-state cartridge (compatible with Sega Genesis),[empty]
Mega Duck/Cougar Boy,2.7" (48 (h) x 51 (w) mm) STN dot matriix,160 × 144,4 monochrome green shades,Four-directional digital pad,Proprietary solid-state cartridge,[empty]
Watara Supervision,3.4"  61 mm x 61 mm (2.37" x 2.37") LCD SuperVision FAQ,160 × 160 pixel display,4 monochrome green shades,Four-directional digital pad,Proprietary solid-state cartridge,[empty]
Atari Lynx II,3.5" LCD,160 × 102,4096 (12-bit)  16 per scanline,Four-directional digital pad,Proprietary solid-state cartridge,[empty]
Game Gear,3.2 in. LCD,160 × 144,4.096 available  32 simultaneous,Four-directional digital pad,Proprietary solid-state cartridge,[empty]
TurboExpress,TFT LCD,256 × 256,512,Four-directional digital pad,Proprietary solid-state cartridge (compatible with TurboGrafx-16),[empty]
Game Boy,Reflective LCD,160 × 144,4,D-Pad,Proprietary solid-state cartridge,[empty]
Atari Lynx,3.5" LCD (diagonal); 3.25" x 1.88"<ref></ref>,160 × 102,4096 (12-bit)  16 per scanline,Four-directional digital pad,Proprietary solid-state cartridge,[empty]
Game Pocket Computer,LCD,75 × 64,2,Four-directional control pad,Proprietary solid-state cartridge,[empty]
Microvision,LCD,16 × 16,4,12 button keypad  one paddle,Proprietary solid-state cartridge,[empty]
Mi2 console,3.5 in. LCD,240 × 320,"full color",Four-directional digital pad  shoulder buttons  action buttons  menu buttons  touch-screen  camera and motion sense,built in  SD card or downloadable,[empty]
Xperia PLAY,4",854 × 480,16M colors,Touchscreen Accelerometer Touchpad 20× buttons,Google Play,Android 2.3.7 (Unofficial 5.1)
