Meaning,Spanish,Portuguese,Notes
glove box (car),guantero < Frankish  Sp suffix want  ero,portaluvas < Lat  Gothic/Suebian portare  lÃ´fa,[empty]
thin,delgado < Lat sm|delic?tum,magro < Lat sm|macrum,Sp magro means 'lean'  in reference to meat
surface  peel,superficie < Lat superfices,tona < Celt tond?/tunna,Port also has superfÃcie
earring,pendiente < Lat pendere,brinco < Lat vinculum,[empty]
watermelon,sandÃa < Ar sindiyyah,melancia < balancia < Lat bilanx,[empty]
passion fruit,fruto de la pasiÃ³n < Lat fructa  passio,maracujÃ¡ < Tupi moruku'ia,Sp also has maracuyÃ¡
window,ventana < Lat sm|vent?nam,janela < Lat sm|i?nuellam,Lat sm|vent?nam 'wind opening' < sm|ventus 'wind' Lat sm|i?nuella is a diminutive of sm|i?nua 'door  opening' (the same root as Eng January and janitor) < the name sm|ianus  the God of gates or doors
counter,ventanilla < Lat sm|vent?nam  suffix 'illa',balcÃ£o < Germanic sm|balkÅ?n,Sp balcÃ³n means 'balcony'
to disrupt  to get in the way (of someone/smthg),molestar  estorbar < Lat sm|molestus  sm|exturb?re,atrapalhar < LowFrankish sm|trappa,[empty]
to erase,borrar < Late Lat sm|burr?re,apagar < Lat sm|app?c?re,Port borrar means 'to smudge'; cf Sp borroso 'blurry' Sp apagar means 'to turn off' (a meaning that also exists in Port  eg apagar a luz 'to turn off the light')
to forget,olvidar < Lat sm|obl«t?re,esquecer < Lat sm|excadescere,Olvidar also exists in Port (but is far less common) A learned cognate  obliterar  exists in both languages
to retort  to strike back,contraatacar < Lat  Ita sm|contra  attaccare,ripostar < Fr sm|riposter,[empty]
to throw  to add,echar < Lat sm|iactare,atirar  pÃ´r < Gothic/Suebian sm|taÃran  < Lat sm|ponere < pono ,[empty]
to smell,oler < Lat sm|ol“re,cheirar < Lat sm|flagr?re,[empty]
to snore,roncar < Lat sm|ronchus < Gr sm|¿¥³‡¿‚,ressonar Prefix  < Lat sm|re  sonare,Por uses roncar for very loud snoring in humans or animal sounds ie pigs
slug,babosa < Lat sm|baba  osa,lesma < Lat sm|limax,[empty]
simple,sencillo < Lat sm|singulus,simples < Lat sm|simplex,Sp also has simple
stage,escenario < Lat sm|scenarium,palco < Langobardic sm|palk,[empty]
fear,temor < Lat sm|timore,receio < Lat re  sm|celare,Port also has temor
harvest  crop,cosecha < Lat sm|collecta,seara < Celtic sm|seni  aro,Port colheita and recolha (both < Lat sm|collecta) generally refer to the harvest of crops  wine or data collection (ie online surveys  personal data)
black,negro < Lat sm|niger,preto < Lat sm|pressus 'compressed  dense',Port also has negro and Sp also has prieto Use and connotation vary greatly (ie the use of preto to refer to people of African descent is considered a slur in Port but the prieto in Sp can often mean "dark"  "tan"  or "swarthy" in a similar fashion to moreno in both Sp and Port)
near,cerca < Lat sm|circa,perto perh < Lat *sm|prettus  alteration of sm|pressus 'compressed',[empty]
far,lejos < Lat sm|laxius,longe < Lat sm|longe,[empty]
spark,chispa (onomatopoeic),faÃsca < Germanic sm|falwiskan,[empty]
shard,esquirla < Lat sm|schidia  < IndoEuropean sm|skei,lasca < *ProtoGermanic sm|laska  or < *Lat sm|lesca,[empty]
toy,juguete < Lat  Sp suffix sm|iocus  ete,brinquedo < ProtoGermanic sm|blinkan…  bl«kan…,[empty]
swine,cochino (onomatopoeic),suÃno < Latin su«nus < ProtoGermanic sm|sw«n…,[empty]
dew,rocÃo < Lat sm|rosidus,orvalho < Gothic/Suebian 'ur'  'vallen' < ProtoGermanic sm|Å«r…  fallan…,[empty]
pen,bolÃgrafo < Lat sm|bulla  Gr ³?¬†µ¹½,caneta < Lat sm|cannae  Por eta,[empty]
print (evidence),huella < Lat sm|follare,marca < Germanic sm|marka,[empty]
windrow,hilera < Lat sm|f«lum  Sp ?era,leira < ProtoCeltic sm|¸l?ryo,[empty]
yesterday,ayer < Lat sm|ad heri,ontem < Lat sm|ad noctem,[empty]
to stay,quedarse < Lat sm|quiet?re,ficar < VulgLat *sm|figic?re,[empty]
hairdresser,peluquero < peluque < French perruque "wig",cabeleireiro < cabeleira 'head of hair; wig' < cabelo < Lat sm|capillus,Port peruca means 'wig'
chair,silla < Lat sm|sella,cadeira < Lat *sm|cathedra  perh < ProtoCeltic *sm|cathair,[empty]
cup  mug,taza < Arabic sm|¹assa,chÃ¡vena < Malay sm|chÃ£van < Chinese < sm|chÃ£kvÃ£n  caneca < Germanic sm|can,Brazilian Port tends to use xÃcara < Sp jÃcara < Nahuatl x«calli
fork,tenedor < Lat  Sp suffix sm|ten“re  dor,garfo < either via Lat sm|graphium or < Fr sm|greffe,[empty]
ladybird,mariquita < Lat toponymic Maria  diminsuffix 'quita',Joaninha < Lat toponymic sm|Iohanna  suffix 'inha',[empty]
robin,petirrojo < Lat pectus  russus,pisco < Lat < Gaulish sm|pincio,[empty]
peach,melocotÃ³n < Lat sm|malum cotonium,pÃªssego < Lat sm|[malum] persicum,[empty]
pillowcase,funda < Lat sm|fundus,fronha < Celt sm|srogna,[empty]
grasshopper,saltamontes < Lat sm|salto  mons,gafanhoto < ProtoCeltic sm|gabal?,[empty]
weasel  skunk,mofeta < Ita sm|moffetta,doninha < Lat sm|domina  Port suffix inha,[empty]
trousers,pantalÃ³n < Fr sm|pantalon < Ita sm|pantaleone,calÃ§as < Lat sm|calceu,[empty]
doorbell,timbre(de la puerta) < Fr sm|timbre,campainha < Lat sm|campana,Spanish also has campanilla
thunder,trueno < Lat sm|tonare,trovÃ£o < Lat sm|turbÅ?nis,[empty]
noise,ruido < Lat sm|rugitus,barulho < Gaulish sm|bruge,Port also has ruÃdo  particularly for isolated/unexpected sounds or noises
handicapped,minusvÃ¡lido < Lat sm|minus  valere,Deficiente < Lat sm|deficiens,[empty]
development,desarrollo < Lat  prefix des sm|rotulus,desenvolvimento < Lat  des sm|involvo,[empty]
unavoidable,indefectible < Lat  prefix in sm|defectiblis,incontornÃ¡vel < Lat  prefix in sm|contornare,[empty]
drug addict,drogadicto < Eng sm|drug addict,toxicodependente  drogado < Lat sm|toxicum  dependens  < Fr sm|drogue,Both Port and Sp have 'toxicomania' for drug addiction
budget,presupuesto < Lat sm|presubpositus,orÃ§amento < Uncertain  Ita 'orza' or likely Frankish *lurz  Lat sm|orÃ§a[15]  mentum,[empty]
