Program,Operating systems,License,Costs,Protocols,Codecs,Encryption,Max conference peers,Other abilities,Latest release
Yate Client,Linux  macOS  Windows,[empty],[empty],SIP  IAX  XMPP  H.323,G.711a  G.711u  GSM 06.10  iLBC  Speex  G.723  G.726  G.728  G.729,[empty],[empty],[empty],6.0.0;
Zfone,Linux  macOS  Windows,[empty],[empty],SIP  RTP,[empty],[empty],[empty],[empty],Beta 2008-09-04 (Linux 0.9.224)  (macOS 0.9.246)  (Windows 0.9.206)
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
Program,Operating systems,License,Open source,Protocols,Codecs,Encryption,Other abilities,Latest release
Acrobits Softphone,Android v2.2+  iOS v7.0+,[empty],[empty],SIP,G.711  G.722  iLBC  GSM  G.729,[empty],VOIP over Wi-Fi or 3G iOS only: push notifications  video  number rewriting  address book matching  sms for betamax providers and pennytel,Acrobits Softphone: 3.20 (Android)  5.2 (iOS)
CounterPath Corporation Bria,Android v4.4+  iOS v10+,[empty],[empty],SIP,G.722 wideband  G.711a  G.711u  iLBC  G.729a  SILK  GSM  VP8  H.264  Opus,[empty],Voice and video calling  SIP and XMPP messaging support  group chat  file  image and document sharing  contact integration  incoming call/IM push notifications.,5.3.4
CSipSimple,Android,[empty],[empty],SIP,Opus  AMR-WB  G.722  iSAC  iLBC  Speex  Silk  Codec2  G.726  G711 (PCMA & PCMU)  AMR  GSM,[empty],[empty],1.02.02
Google Duo,iOS  Android,, freeware,[empty],WebRTC,[empty],[empty],One-to-one voice and video calling.,[empty]
iCall Mobile,iOS v4.3+,, freeware,[empty],SIP AIM ICQ XMPP  Facebook  Yahoo! Messenger  Windows Live,Speex  CELT  WebM,[empty],VoIP over Wi-Fi or 3G  SMS  voicemail,2.0.1;
Jajah Mobile Web,Symbian  Windows Mobile (version unknown),[empty],[empty],[empty],[empty],[empty],web based service  Call back no download<ref>"JAJAH.Mobile Web" . Jajah.com.</ref>,[empty]
JusTex by Juphoon,Android  iOS v5.1+,[empty],[empty],SIP,PCMA  PCMU  G.722  iLBC  iSAC  Opus  H.264  VP8  H.263,[empty],JusTex Softphone over Wi-Fi or 3G  HD voice and video call  Multiparty call  conference.,3.0.1 (iOS); ; 3.0 (Android);
Line,Android  iOS,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Line2,Android  iOS,, freeware,[empty],Proprietary with SIP core,[empty],[empty],Tri-mode calling (cellular  3G/4G data  Wi-Fi)  SMS over IP  visual voicemail  20-person conference calls  auto-attendant  call-forwarding,1.0.4 Android  3.2.1 iOS
Media5-fone,iOS  Android,[empty],[empty],SIP,PCMA  PCMU  G.722*  iLBC  iSAC*  G.729*,TLS*  SRTP*,Wi-Fi and 3G/4G data  second call*  conference calls*  HD Voice  Bluetooth* (* Additional fees),[empty]
Signal by Signal Messenger,iOS  Android,[empty],[empty],WebRTC<ref name="signal-video-calls-beta"></ref>,Opus<ref name="signal-video-calls-beta"/>,[empty],End-to-end encryption by default for everything. CallKit and location privacy <ref name="signal-video-calls"></ref> one-to-one and group messaging  video calling <ref name="signal-video-calls"/> image/video sharing  timed messages  identity verification  screenshot blocking. Android only: SMS/MMS messaging  doodling <ref name="doodles-stickers-censorship"></ref> GIF sharing.<ref name="giphy-experiment"></ref>,[empty]
Sipdroid,Android,[empty],[empty],SIP,[empty],[empty],Uses Wi-Fi  3G or EDGE,2.7
Tango by TangoME Inc.,iOS  Android  Microsoft Windows  macOS  Windows Phone,, freeware,[empty],[empty],[empty],[empty],VoIP  Wi-Fi out & in  SMS over IP  call-through & call-back  instant messaging  videoconferencing,[empty]
Truphone,Nokia-Symbian  iOS  Android  BlackBerry,, freeware,[empty],SIP,[empty],[empty],VoIP  Wi-Fi out & in  SMS over IP  call-through & call-back  connection management  provisioning,Symbian 4.0  iOS 1.11.1
Vopium,Symbian  Java ME  Android  BlackBerry RIM  iOS  Windows Mobile 2003 SE and higher,, freeware,[empty],SIP  MSN  Skype  Yahoo  AOL  ICQ  Google Talk  Facebook & Twitter,GSM,[empty],Wi-Fi VoIP  GSM call-through  SMS over IP  least cost routing  synchronising-backup mobile contacts and calendar,2.0
WhatsApp,Android  BlackBerry  iOS  Symbian  Windows Phone,, freeware,[empty],[empty],[empty],<ref></ref>,VoIP and instant messaging over Wi-Fi or a data connection.,[empty]
Windows Mobile 6,Windows Mobile 6 Professional/Standard,[empty],[empty],SIP to publicly and non-publicly routable servers,[empty],[empty],Wi-Fi Mobile VoIP,6.1
X-PRO for Pocket PC,Windows Mobile 2003 (earlier versions support Windows PocketPC 2002),[empty],[empty],SIP,[empty],[empty],Supported devices: AudioVox Maestro  Compaq/HP iPAQ: 365x  37xx  385x  395x  hx4700  Dell Axim X51  X51v  Toshiba e550  e570. iPAQ 545x and Toshiba e7xx are not supported.<ref>"Recommended Pocket PCs". Counterpath.com.</ref>,2.2
Yuilop,Android  iOS   Windows Phone  BlackBerry OS,, freeware,[empty],XMPP  RTP,iLBC,[empty],VoIP over 3G-4G-LTE and Wi-fi  SMS  group chat  photo sharing  Location sharing  virtual phone numbers,[empty]
Linkus,Android V4.4+  iOS Â v10.0+,, freeware,[empty],SIP,iLBC,[empty],HD VoIP Call  Instant Messaging  Conferencing  SRTP Secure Media  Presence information,iOS 2.7.9 Â Android 2.7.12
Program,Operating systems,License,Protocols  based on  compatible with,Encryption,Other abilities,Key and target markets,Latest release
Tapioca,Linux,[empty],Telepathy (software),[empty],[empty],[empty],0.3.9;
Telepathy  Farstream,Linux  macOS  Windows,[empty],SIP  XMPP (Jingle)  ICE (STUN/TURN)  UPnP,[empty],Multi-user A/V conferencing  IM  collaborative applications,Mobile devices (Maemo  Meego)  Linux desktop or embedded,spec 0.27.2;
OPAL,Windows  Linux (including embedded variants)  macOS,[empty],SIP  H.323  IAX2  CAPI  VXML,[empty],Multi-user A/V conferencing  IM  IVR,Softphones  softswitches  telephony application servers,3.14.3;
GNU oSIP,Linux  Windows  macOS  Android  iPhone  BlackBerry,[empty],SIP  SDP,[empty],Multi-user A/V conferencing  IM  IVR,Softphones  embedded and mobile devices  telephony application servers,4.1.0;
