[empty],Lower house,Upper house,Ratio,Total
Rhode Island,Rhode Island Supreme Court,5,Lifetime<ref name=yale>Linda Greenhouse  "The Case for Term Limits on the Supreme Court with Linda Greenhouse"  Yale Political Union  May 28  2009  http://www.huffingtonpost.com/yale-political-union/the-case-for-term-limits_b_208445.html</ref>,Missouri Plan,None<ref name=yale />
South Carolina,South Carolina Supreme Court,5,10 years,Election by State Legislature,72
South Dakota,South Dakota Supreme Court,5,8 years,Non-partisan election,[empty]
Tennessee,Tennessee Supreme Court,5,8 years,Tennessee Plan (Modified Missouri Plan),[empty]
Texas,Texas Supreme Court<br />Texas Court of Criminal Appeals,9 (both),6 years (both),Partisan election,75 (may finish term or 4 years of term  whichever is shorter)
Utah,Utah Supreme Court,5,4 years,Missouri Plan,[empty]
Vermont,Vermont Supreme Court,5,6 years,Election by State Legislature,[empty]
Virginia,Supreme Court of Virginia,7,12 years,Election by State Legislature,70<ref>Aaron Applegate  Mike Saewitz  "Bill seeks to raise mandatory retirement age for judges to 73"  The Virginian-Pilot  February 4  2010  http://hamptonroads.com/2010/02/bill-seeks-raise-mandatory-retirement-age-judges-73</ref>
Washington,Washington Supreme Court,9,6 years,Non-partisan election,75
West Virginia,Supreme Court of Appeals of West Virginia,5,12 years,Partisan election,[empty]
Wisconsin,Wisconsin Supreme Court,7,10 years,Non-partisan election,[empty]
Wyoming,Wyoming Supreme Court,5,8 years,Missouri Plan,[empty]
